#{"t_start": 1618331338.3184052, "env_id": "ElectricityMarketDiscrete-v0"}
r,l,t
-90.208794,24,0.962128
-496.163735,24,0.979992
-12.224516,24,0.995464
-455.779824,24,1.010185
-515.957334,24,1.028339
-368.218231,24,1.04913
-306.594306,24,1.065718
-580.274767,24,1.081728
-176.64069,24,1.096801
-311.970305,24,1.110533
-259.335525,24,1.125404
-649.770312,24,1.140406
-464.800788,24,1.155115
-309.283094,24,1.16935
-28.430438,24,1.182406
-599.362158,24,1.196399
-187.837485,24,1.210466
-179.787794,24,1.225614
-496.919754,24,1.242648
-435.609889,24,1.255643
-364.596893,24,1.270815
-116.058844,24,1.290717
-144.460728,24,1.305834
-105.243609,24,1.319693
-449.10578,24,1.332185
-467.928325,24,1.34564
-210.812047,24,1.359318
-434.538575,24,1.372967
-529.364897,24,1.386616
-317.640241,24,1.399182
-135.58669,24,1.412881
-210.20406,24,1.426547
-600.393834,24,1.440258
-109.650015,24,1.454498
-399.453671,24,1.466995
-439.916355,24,1.480979
-223.752083,24,1.494926
-249.195939,24,1.508784
-269.216131,24,1.522485
-88.474816,24,1.535252
-187.767871,24,1.549414
-312.29141,24,1.564458
-296.243045,24,1.584521
-363.548589,24,1.599085
-471.722598,24,1.611772
-337.742498,24,1.625433
-153.446291,24,1.638979
-204.875205,24,1.652767
-357.05898,24,1.666245
-328.867561,24,1.678915
-481.688962,24,1.693003
92.952278,24,1.708137
-67.541592,24,1.721854
-311.905205,24,1.735381
132.920966,24,1.747891
-456.751492,24,1.761466
-235.421242,24,1.77486
-209.857277,24,1.788538
-268.786067,24,1.802567
-526.325738,24,1.817835
-492.007753,24,1.8324
-257.050724,24,1.846088
-538.737606,24,1.861963
-177.506298,24,1.88174
-384.875751,24,1.895284
-435.89973,24,1.909303
-599.42035,24,1.923093
-438.552301,24,1.936811
-172.939544,24,1.950156
-143.295388,24,1.963007
-440.199612,24,1.976769
-340.848668,24,1.990431
-200.423698,24,2.003772
-409.257333,24,2.01736
-251.907238,24,2.029956
-441.923264,24,2.043581
-467.536941,24,2.057495
-490.094826,24,2.071022
-168.100932,24,2.084283
-388.242763,24,2.09704
-546.056931,24,2.110753
-235.041797,24,2.124788
-417.981744,24,2.138826
-94.964878,24,2.157953
-139.532031,24,2.175061
-367.041788,24,2.193699
-97.135374,24,2.209834
-114.27052,24,2.224235
-600.354647,24,2.238556
-123.814103,24,2.251775
-136.867656,24,2.265855
-327.405846,24,2.279789
-93.973485,24,2.293339
-477.812523,24,2.307578
-281.464617,24,2.320292
-237.311663,24,2.33399
-300.157741,24,2.347527
-361.752007,24,2.361108
93.699257,24,2.374753
-534.415767,24,2.387683
-341.254508,24,2.401942
-416.400312,24,2.416028
-152.921799,24,2.429861
-251.936406,24,2.444317
-185.417039,24,2.460049
-243.334625,24,2.481429
-325.123551,24,2.499902
-274.595234,24,2.516569
-386.319156,24,2.532968
-125.740615,24,2.547958
-47.333192,24,2.564613
-445.018532,24,2.581192
-214.775727,24,2.597757
-487.897143,24,2.614036
-559.290944,24,2.628764
-143.868125,24,2.645332
-754.966971,24,2.661088
-697.206231,24,2.675352
-672.908437,24,2.689293
-60.90566,24,2.702061
-420.869411,24,2.715946
-420.040324,24,2.72975
24.417527,24,2.744161
34.194479,24,2.758011
-144.267164,24,2.770701
-455.501151,24,2.787783
-224.005882,24,2.80347
-578.139808,24,2.817574
-216.114001,24,2.830844
-88.180921,24,2.843582
-326.284659,24,2.857451
-292.993841,24,2.870915
105.164955,24,2.884698
-149.027459,24,2.898273
-342.426447,24,2.910672
-86.790374,24,2.92431
-358.580924,24,2.938056
28.927876,24,2.95152
-306.499229,24,2.965034
-535.795688,24,2.977649
-336.651718,24,2.99117
-523.34831,24,3.004462
-206.403172,24,3.017799
-103.552879,24,3.031443
-35.959136,24,3.043834
-279.340815,24,3.05826
-333.955337,24,3.077746
48.552561,24,3.09236
