#{"t_start": 1637291907.090252, "env_id": "MountainCarContinuous-v0"}
r,l,t
-55.001087,999,1.377368
-51.427698,999,2.034059
-49.900574,999,2.667922
-49.44609,999,3.280819
-46.122787,999,3.892151
-45.454038,999,4.499871
-42.44649,999,5.138928
-37.493428,999,5.800198
-36.961688,999,6.45863
-33.151625,999,7.074728
-29.807348,999,7.707988
-26.456504,999,8.307277
-23.156656,999,8.897677
-19.900867,999,9.501705
-18.812944,999,10.083055
-15.57528,999,10.687648
-14.069521,999,11.322617
-13.512017,999,12.124718
-11.890777,999,12.742604
-11.300282,999,13.446635
-10.81367,999,14.122849
-9.628211,999,14.80248
-9.517521,999,15.49773
-9.08463,999,16.097545
-8.649456,999,16.674119
-8.205629,999,17.214464
-7.570917,999,17.84111
-6.938432,999,18.505864
-7.065035,999,19.079923
-6.696865,999,19.707381
-6.144786,999,20.328754
-6.20128,999,21.016928
-5.821937,999,21.670171
-6.011527,999,22.28585
-5.595314,999,22.990415
-5.982038,999,23.652573
-5.498158,999,24.363213
-5.474896,999,25.001193
-5.248098,999,25.608157
-5.556155,999,26.140056
-5.807694,999,26.669655
-5.688566,999,27.207824
-6.013042,999,27.746004
-5.993674,999,28.298454
-5.915796,999,28.86733
-5.933409,999,29.40098
-5.962731,999,29.93445
-5.550649,999,30.482922
-5.440891,999,31.021435
-5.59606,999,31.550289
-4.957781,999,32.076304
-5.283502,999,32.602793
-5.442837,999,33.150828
-5.212594,999,33.705371
-5.064239,999,34.238802
-5.083099,999,34.769708
-5.204951,999,35.303063
-5.397943,999,35.836876
-5.340419,999,36.388727
-4.982046,999,36.92038
-5.485528,999,37.456961
-4.574856,999,38.00351
-5.102776,999,38.534016
-5.151224,999,39.081333
-5.090646,999,39.61209
-4.932788,999,40.143274
-4.679687,999,40.673349
-5.04045,999,41.208188
-4.520053,999,41.740889
-4.981767,999,42.274058
-4.953129,999,42.814717
-4.819591,999,43.35092
-5.009568,999,43.901069
-5.119707,999,44.434988
-4.732483,999,44.972757
-5.349585,999,45.514323
-5.716731,999,46.04903
-5.311644,999,46.580476
-5.023195,999,47.109795
-5.237429,999,47.645861
-5.369961,999,48.19183
-5.037851,999,48.751493
-4.842695,999,49.282164
-5.124482,999,49.812039
-4.705143,999,50.349516
-5.213887,999,50.910926
-4.590857,999,51.441498
-5.189801,999,51.973829
-5.244897,999,52.505027
-4.75923,999,53.037303
-5.131643,999,53.569082
-5.272585,999,54.136928
-4.922179,999,54.672148
-5.188139,999,55.213447
-5.549652,999,55.749496
-5.038062,999,56.285698
-5.051653,999,56.816943
-5.210918,999,57.346736
-5.088153,999,57.885145
-5.443764,999,58.422582
-5.056237,999,58.972608
-5.15983,999,59.506349
-4.927617,999,60.040595
-4.921375,999,60.569945
-5.163204,999,61.106759
-5.538412,999,61.637787
-5.362472,999,62.169093
-4.717777,999,62.700572
-4.967703,999,63.237912
-5.304309,999,63.786536
-5.018459,999,64.313733
-4.971205,999,64.858392
-5.304884,999,65.39504
-5.03873,999,65.920732
-5.22223,999,66.484438
-5.155063,999,67.018462
-4.793228,999,67.550778
-5.241461,999,68.093265
-5.434788,999,68.644981
-5.00162,999,69.186695
-5.236295,999,69.718341
-4.971848,999,70.249772
-4.951775,999,70.777824
-5.008904,999,71.309998
-4.980994,999,71.836881
-4.593022,999,72.369407
-5.329502,999,72.900896
-4.983416,999,73.431945
-4.637438,999,73.976928
-5.065818,999,74.513121
-5.160854,999,75.047453
-4.850896,999,75.586898
-4.899596,999,76.117309
-4.569434,999,76.647667
-4.721212,999,77.179585
-4.50032,999,77.721878
-4.757095,999,78.258004
-4.727634,999,78.828937
-4.873822,999,79.354737
-4.683364,999,79.893727
-4.771419,999,80.427824
-4.888726,999,80.953972
-4.853243,999,81.484079
-4.689572,999,82.01981
-4.505686,999,82.555117
-4.732989,999,83.092849
-5.150103,999,83.628993
-5.071582,999,84.17401
-4.618452,999,84.709372
-4.850122,999,85.248169
