#{"t_start": 1624257134.864922, "env_id": "ElectricityMarket-v0"}
r,l,t
-2697.003184,24,0.86417
-2718.073017,24,0.873398
-2732.093498,24,0.881906
-2802.187703,24,0.891198
-2730.33105,24,0.899388
-2687.870485,24,1.15427
-2781.363959,24,1.165984
-2812.255972,24,1.175689
-2737.349712,24,1.183393
-2701.261455,24,1.191636
-2815.319434,24,1.217027
-2779.818439,24,1.22854
-2636.334352,24,1.237966
-2830.1906,24,1.246957
-2756.437891,24,1.254612
-2607.340557,24,1.262715
-2767.164194,24,1.290245
-2707.960132,24,1.299914
-2762.960189,24,1.308323
-2708.694158,24,1.316467
-2652.311555,24,1.324578
-2735.669862,24,1.352999
-2747.756055,24,1.365021
-2727.00749,24,1.374442
-2607.066789,24,1.383536
-2753.034307,24,1.391917
-2735.725943,24,1.421503
-2775.570834,24,1.432573
-2757.907441,24,1.442611
-2711.584105,24,1.451653
-2786.264256,24,1.461521
-2719.417574,24,1.470641
-2659.896327,24,1.501973
-2737.55846,24,1.511908
-2714.472301,24,1.522021
-2783.392325,24,1.531792
-2700.928184,24,1.540255
-2671.979585,24,1.569975
-2838.720783,24,1.580213
-2728.143676,24,1.590563
-2684.433351,24,1.600028
-2776.557759,24,1.609488
-2640.110051,24,1.638763
-2717.903399,24,1.649748
-2581.246833,24,1.660833
-2690.209977,24,1.670031
-2585.964149,24,1.67972
-2700.645779,24,1.688156
-2708.366478,24,1.71715
-2688.970796,24,1.726578
-2638.477667,24,1.734839
-2635.262094,24,1.743605
-2770.36718,24,1.752735
-2753.707539,24,1.783581
-2892.020024,24,1.793127
-2713.413734,24,1.802735
-2679.887692,24,1.812328
-2707.036336,24,1.820567
-2714.230845,24,1.849876
-2732.909355,24,1.859308
-2816.655712,24,1.868698
-2688.689255,24,1.878141
-2730.503092,24,1.886236
-2745.297944,24,1.895638
-2738.98945,24,1.924602
-2695.466534,24,1.934029
-2745.344931,24,1.943224
-2662.667816,24,1.951865
-2706.995544,24,1.961005
-2739.095161,24,1.988099
-2729.763986,24,1.998246
-2742.498274,24,2.0067
-2637.552849,24,2.017352
-2719.721468,24,2.030232
-2615.373781,24,2.066412
-2721.233222,24,2.076427
-2667.527185,24,2.086464
-2753.230329,24,2.095582
-2687.904374,24,2.104348
-2642.928115,24,2.112822
-2757.172589,24,2.14113
-2722.272508,24,2.14945
-2772.16149,24,2.157955
-2712.781192,24,2.165453
-2811.520733,24,2.174105
-2654.14772,24,2.20005
-2835.374942,24,2.208943
-2793.882947,24,2.216556
-2743.910298,24,2.225006
-2694.56128,24,2.232412
-2644.027066,24,2.257421
-2639.618762,24,2.264987
-2772.420868,24,2.274076
-2838.689606,24,2.283088
-2680.20979,24,2.291775
-2639.178688,24,2.299871
-2706.607799,24,2.325189
-2778.14896,24,2.332734
-2661.339222,24,2.340102
-2740.132708,24,2.347096
-2620.746966,24,2.354064
-2764.308137,24,2.378406
-2794.888728,24,2.3857
-2692.769245,24,2.39303
-2783.231851,24,2.400265
-2637.66624,24,2.407401
-2654.332479,24,2.430884
-2730.957327,24,2.438589
-2690.851243,24,2.445633
-2735.67998,24,2.4526
-2761.950165,24,2.459643
-2696.870006,24,2.466713
-2655.621188,24,2.491161
-2824.66702,24,2.498548
-2653.779651,24,2.505698
-2739.329306,24,2.51264
-2822.883129,24,2.519589
-2715.082473,24,2.543677
-2769.193009,24,2.551255
-2778.92222,24,2.55822
-2651.098117,24,2.565184
-2825.941431,24,2.573336
-2809.171245,24,2.600299
-2688.085875,24,2.608123
-2693.918971,24,2.615151
-2711.268096,24,2.622338
-2743.783003,24,2.629325
-2696.680673,24,2.636517
-2677.150973,24,2.661399
-2674.133073,24,2.66926
-2636.168911,24,2.676641
-2742.325106,24,2.683881
-2740.454157,24,2.69095
-2722.387184,24,2.71581
-2729.240452,24,2.724808
-2765.772581,24,2.732458
-2776.337771,24,2.740214
-2706.685461,24,2.748266
-2762.645959,24,2.774088
-2766.1677,24,2.784151
-2748.363278,24,2.803685
-2658.261422,24,2.826264
-2812.719497,24,2.84807
-2743.684411,24,2.875703
-2700.761169,24,2.983531
-2731.892893,24,3.009715
-2736.22216,24,3.03237
-2775.519323,24,3.047325
-2802.40209,24,3.058053
-2754.810942,24,3.086799
-2707.453769,24,3.095291
-2767.213544,24,3.103197
-2659.166486,24,3.111221
-2714.776945,24,3.118676
-2650.461914,24,3.142515
-2781.750451,24,3.15261
-2724.133226,24,3.162425
-2680.938152,24,3.170579
-2772.354037,24,3.178049
-2615.25837,24,3.185234
-2738.217792,24,3.210122
-2628.30889,24,3.217833
-2751.401307,24,3.225092
-2779.466934,24,3.232043
-2693.647544,24,3.238967
-2657.351963,24,3.264111
-2638.953897,24,3.271969
-2680.054968,24,3.279469
-2648.094784,24,3.286616
-2646.09315,24,3.293929
-2764.9825,24,3.317897
-2712.573351,24,3.325774
-2747.814611,24,3.332993
-2713.567542,24,3.33999
-2681.57695,24,3.347214
-2750.957407,24,3.354215
-2759.709179,24,3.378285
-2762.774323,24,3.385308
-2707.459369,24,3.392302
-2687.964987,24,3.399757
-2734.7097,24,3.406836
-2728.011794,24,3.43079
-2678.884489,24,3.438297
-2770.773943,24,3.44534
-2803.277096,24,3.452427
-2790.109839,24,3.459584
-2736.555371,24,3.483035
-2794.996062,24,3.490708
-2581.572707,24,3.498658
-2747.887805,24,3.529528
-2733.589289,24,3.539128
-2751.406859,24,3.546302
-2828.566273,24,3.570681
-2686.28949,24,3.577663
-2610.762782,24,3.584769
-2653.664887,24,3.591686
-2714.52307,24,3.598596
-2718.502797,24,3.623217
-2678.460222,24,3.630631
-2757.355373,24,3.637844
-2812.714514,24,3.644944
-2585.778339,24,3.651905
-2701.628306,24,3.675312
-2723.222226,24,3.683823
-2785.570397,24,3.691029
-2785.330698,24,3.698277
-2660.155029,24,3.705415
-2794.82545,24,3.712459
-2712.866798,24,3.736114
-2751.386012,24,3.7431
-2851.52256,24,3.750134
-2747.696123,24,3.75721
-2723.101617,24,3.764252
-2673.644532,24,3.788692
-2715.845357,24,3.797201
-2644.144589,24,3.804184
-2617.142061,24,3.811103
-2769.074307,24,3.81808
-2733.809952,24,3.841752
-2673.553097,24,3.850034
-2755.966218,24,3.856985
-2815.610558,24,3.863904
-2762.126604,24,3.870973
-2646.527562,24,3.877996
-2698.565777,24,3.902644
-2676.587908,24,3.910251
-2808.726424,24,3.917187
-2704.273946,24,3.924118
-2780.796577,24,3.931197
-2707.524344,24,3.955823
-2728.645381,24,3.963534
-2756.709297,24,3.970975
-2621.999533,24,3.978584
-2748.414598,24,3.986457
-2760.277104,24,4.01142
-2760.454799,24,4.020673
-2741.030557,24,4.029998
-2734.782782,24,4.038798
-2690.978275,24,4.047558
-2694.086723,24,4.055173
