#{"t_start": 1637295687.668022, "env_id": "MountainCarContinuous-v0"}
r,l,t
-50.998925,999,1.745152
-50.363619,999,2.388454
-52.456665,999,3.017321
-51.277953,999,3.643828
-50.016841,999,4.262505
-47.069286,999,4.830654
-46.310159,999,5.460242
-44.910122,999,6.143658
-44.933373,999,6.930429
-40.393369,999,7.81639
-39.095153,999,8.445543
-40.721024,999,9.097477
-38.452232,999,9.848966
-36.60222,999,10.507654
-33.854116,999,11.147314
-35.924412,999,11.759115
-32.109313,999,12.398941
-32.061209,999,13.188907
-31.645125,999,13.842537
-28.659272,999,14.479674
-28.865293,999,15.110412
-28.096347,999,15.771375
-25.855416,999,16.399063
-25.528985,999,17.053769
-23.194286,999,17.682116
-22.636662,999,18.298082
-25.114201,999,18.936237
-20.862187,999,19.692323
-19.247655,999,20.346278
-19.64607,999,20.9812
-18.703618,999,21.584179
-18.843549,999,22.220813
-16.845426,999,22.845484
-16.052936,999,23.497006
-14.757937,999,24.116414
-15.490114,999,24.722973
-14.881771,999,25.350553
-13.310129,999,25.999001
-13.216396,999,26.666699
-11.898003,999,27.334927
-10.64341,999,27.936359
-11.08888,999,28.602981
-9.98399,999,29.219912
-9.830994,999,29.828224
-9.535422,999,30.393566
-8.823448,999,30.965869
-8.220719,999,31.543308
-8.319684,999,32.22771
-7.708459,999,32.890908
-7.322844,999,33.554357
-6.858684,999,34.180769
-6.799162,999,34.807734
-5.896835,999,35.436723
-6.15555,999,36.066158
-5.833526,999,36.701502
-5.605497,999,37.379761
-4.918687,999,37.992742
-4.769543,999,38.571888
-4.47875,999,39.181694
-4.603665,999,39.754713
-4.185384,999,40.318139
-4.456737,999,40.853986
-3.89238,999,41.430405
-3.902751,999,41.998289
-3.744426,999,42.57167
-3.589902,999,43.142598
-3.341241,999,43.680251
-3.125146,999,44.258569
-2.888018,999,44.905706
-2.805295,999,45.571321
-2.530112,999,46.246394
-2.708414,999,46.860286
-2.453622,999,47.52932
-2.416346,999,48.130307
-2.24423,999,48.805676
-2.140426,999,49.522521
-2.108046,999,50.141257
-1.981029,999,50.837552
-1.974746,999,51.483835
-1.835507,999,52.214568
-1.735339,999,53.018737
-1.715442,999,53.651099
-1.652964,999,54.33229
-1.464256,999,55.000544
-1.454828,999,55.635635
-1.282386,999,56.262712
-1.400661,999,56.941985
-1.223233,999,57.579721
-1.212737,999,58.256214
-1.151059,999,58.889499
-1.11997,999,59.52496
-1.152519,999,60.227672
-1.015976,999,60.897825
-1.034792,999,61.522151
-0.897197,999,62.118518
-0.955059,999,62.746081
-0.848767,999,63.359841
-0.892292,999,63.994283
-0.794789,999,64.690246
-0.7773,999,65.379308
-0.753845,999,66.085632
-0.707679,999,66.723011
-0.622914,999,67.350939
-0.696578,999,68.077761
-0.654522,999,68.877956
-0.585732,999,69.591574
-0.641725,999,70.279136
-0.598269,999,70.891191
-0.514978,999,71.672639
-0.560397,999,72.32323
-0.50494,999,73.039397
-0.504557,999,73.807607
-0.478232,999,74.521779
-0.42303,999,75.25912
-0.409953,999,75.971552
-0.395989,999,76.61252
-0.398074,999,77.232245
-0.408905,999,77.785475
-0.364058,999,78.401932
-0.350521,999,78.994959
-0.330859,999,79.562605
-0.313293,999,80.234536
-0.334387,999,80.94274
-0.273676,999,81.664225
-0.281561,999,82.303863
-0.253361,999,82.915111
-0.262531,999,83.476306
-0.260163,999,83.98061
-0.231166,999,84.523437
-0.21916,999,85.141159
-0.215043,999,85.83814
-0.220974,999,86.499749
-0.206186,999,87.148059
-0.19324,999,87.747691
-0.202259,999,88.334432
-0.193316,999,88.926966
-0.198882,999,89.589953
-0.175455,999,90.210492
-0.157224,999,90.8265
-0.156771,999,91.470909
-0.152504,999,92.121964
-0.150245,999,92.754163
-0.151017,999,93.413426
-0.135906,999,94.004141
-0.129316,999,94.633129
-0.128855,999,95.263682
-0.12599,999,95.898266
-0.116758,999,96.5363
-0.118035,999,97.117888
-0.121732,999,97.751868
-0.098377,999,98.426775
-0.099775,999,99.060144
-0.106077,999,99.672471
-0.104873,999,100.285294
-0.092893,999,100.904508
-0.097027,999,101.548959
-0.08989,999,102.180012
-0.086405,999,102.805932
-0.085922,999,103.394386
-0.086318,999,104.058666
-0.081373,999,104.713479
-0.079451,999,105.356172
-0.07345,999,105.979517
-0.073706,999,106.62594
-0.071732,999,107.279608
-0.071726,999,107.928799
-0.069395,999,108.574434
-0.065585,999,109.225833
-0.061732,999,109.811974
-0.059343,999,110.469351
-0.059802,999,111.12196
-0.05525,999,111.734299
-0.056913,999,112.414109
-0.055344,999,113.066736
-0.050328,999,113.644874
-0.051477,999,114.300917
-0.050179,999,114.971686
-0.050518,999,115.628103
-0.048593,999,116.265823
-0.044417,999,116.88667
-0.046,999,117.550443
-0.043391,999,118.212431
-0.041175,999,118.802191
-0.039108,999,119.405424
-0.039271,999,119.947963
-0.041112,999,120.520461
-0.040281,999,121.108432
-0.034834,999,121.714655
-0.034564,999,122.400873
-0.034673,999,123.083336
-0.036017,999,123.760131
-0.032934,999,124.46518
-0.032065,999,125.156697
-0.030502,999,125.79881
-0.032077,999,126.388588
-0.027837,999,127.030725
-0.029447,999,127.680047
-0.028257,999,128.289435
-0.026795,999,128.946159
-0.026936,999,129.553142
-0.0255,999,130.216219
-0.027643,999,130.866872
-0.02453,999,131.524811
-0.026558,999,132.181813
-0.022644,999,132.801784
-0.022681,999,133.47106
-0.023224,999,134.13443
-0.021882,999,134.800049
-0.021612,999,135.458822
-0.020865,999,136.089125
-0.022015,999,136.722203
-0.0196,999,137.37125
-0.019159,999,138.019593
-0.016729,999,138.683784
-0.018249,999,139.349799
-0.017502,999,139.948334
-0.01679,999,140.554311
-0.017244,999,141.139629
-0.015966,999,141.756567
-0.015326,999,142.431919
-0.016131,999,143.043358
-0.015223,999,143.685189
-0.017201,999,144.356007
-0.018658,999,145.011408
-0.017152,999,145.646127
-0.014478,999,146.250671
-0.015012,999,146.892303
-0.013579,999,147.523005
-0.01468,999,148.173597
-0.013733,999,148.798851
-0.014945,999,149.423006
-0.014274,999,150.052082
-0.012964,999,150.716061
-0.013086,999,151.365462
-0.013016,999,152.006214
-0.01199,999,152.622767
-0.011247,999,153.275757
-0.011848,999,153.914832
-0.011573,999,154.539452
-0.01024,999,155.159285
-0.010719,999,155.745347
-0.011731,999,156.361044
-0.01034,999,156.985956
-0.010446,999,157.614752
-0.01046,999,158.234077
-0.009346,999,158.817602
-0.009966,999,159.447371
-0.009328,999,160.064777
-0.009286,999,160.687284
-0.009206,999,161.302806
-0.008978,999,161.890652
-0.009074,999,162.506494
-0.008247,999,163.12682
-0.009117,999,163.745724
-0.008303,999,164.369704
-0.007949,999,164.978338
-0.008811,999,165.595226
-0.007059,999,166.218298
-0.007467,999,166.853909
-0.008,999,167.488738
-0.006969,999,168.122678
-0.007453,999,168.756964
-0.007541,999,169.386355
-0.007429,999,170.0454
-0.007126,999,170.670314
-0.006638,999,171.285723
-0.006064,999,171.871032
-0.006185,999,172.49082
-0.006161,999,173.109578
-0.005817,999,173.727704
-0.006566,999,174.346591
-0.005929,999,174.923239
-0.006675,999,175.547951
-0.005792,999,176.165186
-0.005609,999,176.801989
-0.005539,999,177.447654
-0.005468,999,178.039329
-0.005477,999,178.660234
-0.005095,999,179.281828
-0.004973,999,179.90403
-0.004699,999,180.52054
-0.004835,999,181.117258
-0.004963,999,181.742532
-0.004696,999,182.370943
-0.004945,999,182.983867
-0.004438,999,183.595744
-0.004206,999,184.210791
-0.003986,999,184.9023
-0.00467,999,185.545237
-0.004409,999,186.158461
-0.004103,999,186.809344
-0.00404,999,187.421649
-0.003939,999,188.0581
-0.00402,999,188.683016
-0.003902,999,189.301003
-0.003942,999,189.920425
-0.003952,999,190.531285
-0.004495,999,191.17739
-0.00397,999,191.817811
-0.003913,999,192.453249
-0.003601,999,193.070797
-0.003892,999,193.700484
-0.003434,999,194.289303
-0.00397,999,194.908656
-0.004085,999,195.532429
-0.003372,999,196.138898
-0.003388,999,196.770319
-0.003594,999,197.339437
-0.003245,999,197.999293
-0.003393,999,198.623242
-0.003261,999,199.280959
-0.00329,999,199.924208
-0.003462,999,200.537116
-0.003834,999,201.189239
-0.003971,999,201.833179
-0.003189,999,202.4726
