#{"t_start": 1624256998.552331, "env_id": "ElectricityMarket-v0"}
r,l,t
-2694.069201,24,1.051256
-2787.026168,24,1.060478
-2638.357826,24,1.069779
-2739.306375,24,1.079314
-2645.951693,24,1.088416
-2643.522979,24,1.097116
-2740.224031,24,1.106011
-2688.105833,24,1.115676
-2699.362504,24,1.124852
-2754.406472,24,1.134292
-2775.649888,24,1.142968
-2681.20801,24,1.1522
-2689.422493,24,1.161352
-2818.341498,24,1.170187
-2703.951734,24,1.179557
-2698.056282,24,1.190987
-2720.559512,24,1.200854
-2763.299906,24,1.20986
-2744.498539,24,1.218875
-2709.634299,24,1.229874
-2656.303901,24,1.238971
-2716.400127,24,1.248153
-2661.340245,24,1.257169
-2668.601789,24,1.266081
-2578.831751,24,1.275295
-2740.754785,24,1.284359
-2805.013747,24,1.293229
-2568.486676,24,1.302073
-2729.453166,24,1.310766
-2590.780369,24,1.319687
-2740.797117,24,1.328699
-2722.98665,24,1.337665
-2825.45183,24,1.346769
-2693.300747,24,1.355837
-2666.277443,24,1.364953
-2744.354463,24,1.374395
-2673.97855,24,1.384558
-2673.365487,24,1.393737
-2736.775494,24,1.402545
-2751.950165,24,1.411815
-2775.427625,24,1.420823
-2754.217523,24,1.429608
-2793.771395,24,1.923598
-2678.066636,24,1.934339
-2715.062169,24,1.944781
-2737.32458,24,1.954232
-2671.314814,24,1.962879
-2711.107147,24,1.971253
-2675.547898,24,1.979926
-2687.404868,24,1.988315
-2657.548649,24,1.996542
-2733.438424,24,2.006405
-2616.652935,24,2.017664
-2780.961546,24,2.026147
-2561.411286,24,2.034789
-2708.59811,24,2.042873
-2708.150727,24,2.050928
-2605.83611,24,2.058293
-2743.745784,24,2.065814
-2700.92082,24,2.073003
-2640.368613,24,2.080261
-2671.729681,24,2.087548
-2634.228314,24,2.095437
-2604.154965,24,2.102807
-2680.368164,24,2.110217
-2674.007301,24,2.117547
-2647.658891,24,2.124826
-2699.977721,24,2.132061
-2739.709271,24,2.139288
-2606.259411,24,2.146491
-2591.299057,24,2.153693
-2687.569767,24,2.160892
-2637.082675,24,2.168243
-2676.167385,24,2.175439
-2765.020705,24,2.183464
-2634.576583,24,2.19145
-2815.818654,24,2.1995
-2753.313998,24,2.207661
-2705.323119,24,2.215879
-2759.041205,24,2.224148
-2657.955414,24,2.232209
-2769.461961,24,2.240491
-2781.222817,24,2.248856
-2786.841012,24,2.25722
-2666.815393,24,2.265509
-2725.78993,24,2.340188
-2636.345124,24,2.357228
-2654.031728,24,2.374522
-2708.676025,24,2.388985
-2730.311677,24,2.398821
-2712.325634,24,2.409794
-2659.651601,24,2.419011
-2805.035579,24,2.430057
-2645.932294,24,2.439464
-2660.581511,24,2.451074
-2636.581065,24,2.462013
-2728.247744,24,2.471928
-2709.90697,24,2.484803
-2781.933264,24,2.500663
-2628.759595,24,2.512658
-2852.94056,24,2.523523
-2574.266997,24,2.535254
-2664.085174,24,2.546008
-2637.903014,24,2.555374
-2734.173724,24,2.56654
-2783.244184,24,2.575216
-2747.777161,24,2.584069
-2767.843896,24,2.593125
-2637.371047,24,2.601749
-2709.624424,24,2.610531
-2780.373221,24,2.619121
-2535.219584,24,2.627915
-2735.22205,24,2.636448
-2705.204573,24,2.64472
-2831.461352,24,2.653349
-2745.801119,24,2.661832
-2763.726608,24,2.670919
-2812.12944,24,2.679496
-2676.8985,24,2.690473
-2493.747508,24,2.700777
-2608.102783,24,2.710841
-2705.61295,24,2.720626
