#{"t_start": 1637291155.774315, "env_id": "MountainCarContinuous-v0"}
r,l,t
-53.343861,999,1.703606
-47.064115,999,2.659999
-44.163375,999,3.118773
-41.743942,999,3.631064
-39.221214,999,4.094118
-50.624992,999,4.580467
-40.457492,999,5.14373
-42.378495,999,5.654755
-35.496894,999,6.208331
-32.592499,999,6.711649
-27.986597,999,7.254417
-25.737676,999,7.730754
-24.688864,999,8.235948
-24.347704,999,8.702608
-18.637933,999,9.18682
-17.184858,999,9.693696
-15.929349,999,10.241476
-14.906645,999,10.699316
-12.289446,999,11.138577
-12.124262,999,11.614491
-10.601673,999,11.999659
-9.416342,999,12.427665
-7.992783,999,12.826578
-6.57206,999,13.232991
-5.658485,999,13.646432
-4.710605,999,14.049945
-4.155998,999,14.458062
-3.390911,999,14.861941
-3.241733,999,15.261373
-2.552776,999,15.674049
-2.543317,999,16.083154
-2.342192,999,16.493489
-1.885968,999,16.88886
-1.718506,999,17.326806
-1.668431,999,17.720068
-1.589057,999,18.130698
-1.337921,999,18.546875
-1.078417,999,18.938553
-1.039811,999,19.359643
-1.077742,999,19.763496
-0.96665,999,20.014811
-1.014157,999,20.421007
-0.928423,999,20.839901
-0.879747,999,21.239284
-0.768241,999,21.662333
-0.711328,999,22.050931
-0.602411,999,22.466849
-0.761146,999,22.883596
-0.626992,999,23.303302
-0.661833,999,23.728334
-0.62381,999,24.172167
-0.541745,999,24.580423
-0.53786,999,25.006042
-0.534286,999,25.412413
-0.522577,999,25.838457
-0.582188,999,26.24777
-0.588805,999,26.674102
-0.680802,999,27.089138
-0.638334,999,27.53273
-0.668136,999,27.930706
-0.636986,999,28.35419
-0.603426,999,28.753237
-0.574311,999,29.150437
-0.572527,999,29.556182
-0.511137,999,29.977826
-0.447219,999,30.403531
-0.484615,999,30.828122
-0.42681,999,31.263204
-0.402732,999,31.682508
-0.392885,999,32.106954
-0.358917,999,32.523692
-0.350814,999,32.944524
-0.308048,999,33.356409
-0.310705,999,33.775655
-0.263477,999,34.203753
-0.280735,999,34.626396
