#{"t_start": 1667874354.940236, "env_id": "ElectricityMarket-v0"}
r,l,t
-27115.345484,24,0.581368
-27255.131953,24,0.605466
-27652.208503,24,0.627678
-27240.593092,24,0.649844
-27387.404818,24,0.670892
-27142.147349,24,0.69476
-27447.197663,24,0.720759
-27221.675167,24,0.747037
-27113.91352,24,0.772089
-27157.58741,24,0.794236
-27464.523006,24,0.818902
-27425.694284,24,0.843523
-27052.082464,24,0.869428
-27080.903151,24,0.892791
-27112.539273,24,0.914825
-27299.994293,24,0.936915
-26912.044435,24,0.959052
-27179.528177,24,0.980966
-26944.018405,24,1.000992
-27281.896122,24,1.024237
-27287.659321,24,1.04892
-27357.573199,24,1.07236
-26928.863178,24,1.096827
-27085.781154,24,1.123081
-26910.293648,24,1.146796
-27154.106463,24,1.173624
-27110.482835,24,1.198568
-27384.156511,24,1.226697
-27476.921088,24,1.251743
-27087.906483,24,1.276217
-26921.762118,24,1.299495
-27119.821726,24,1.320119
-26913.084705,24,1.33973
-27258.799079,24,1.358981
-27135.416887,24,1.377533
-27088.248734,24,1.396566
-27013.769545,24,1.415434
-26852.183547,24,1.434287
-27098.498677,24,1.453028
-27128.843563,24,1.472511
-27073.302855,24,1.493911
-27198.460859,24,1.52023
-26986.16167,24,1.546335
-27270.818665,24,1.571049
-26915.776214,24,1.594438
-26935.256679,24,1.619777
-26985.103773,24,1.64395
-26712.703784,24,1.66807
-26859.310715,24,1.692031
-27077.509388,24,1.716682
-27162.632484,24,1.740341
-27186.253958,24,1.762778
-26970.636099,24,1.784212
-26913.175127,24,1.805
-27120.571897,24,1.827259
-27048.755534,24,1.851778
-26792.289669,24,1.876657
-27128.766297,24,1.901518
-26921.481147,24,1.925529
-27265.710585,24,1.948076
-27101.466664,24,1.971767
-27156.46434,24,1.995009
-26976.564761,24,2.020958
-27049.823082,24,2.044874
-27238.175223,24,2.065724
-27179.732449,24,2.087175
-26969.485043,24,2.108798
-27068.060613,24,2.129614
-26981.847603,24,2.149768
-26829.782907,24,2.168456
-26943.905863,24,2.188276
-26877.525973,24,2.209597
-27366.623955,24,2.231887
-27370.728894,24,2.255603
-27099.701757,24,2.280196
-26522.369128,24,2.304931
-27166.89387,24,2.330923
-27278.221729,24,2.355901
-26907.031089,24,2.380189
-26901.340393,24,2.402705
-27310.882719,24,2.427341
-27379.742994,24,2.450898
-27169.740911,24,2.472976
-26845.144165,24,2.496083
-27457.982234,24,2.520426
-27346.887656,24,2.543787
-26950.051873,24,2.567593
-27165.868719,24,2.589006
-27122.050007,24,2.610598
-26808.685031,24,2.630292
-27009.002851,24,2.652349
-27166.936615,24,2.674344
-26545.277741,24,2.697103
-26930.478508,24,2.718673
-27528.21325,24,2.738779
-27054.948343,24,2.758302
-27248.463316,24,2.778255
-27010.02227,24,2.799451
-26926.217008,24,2.820914
-27193.095213,24,2.840292
-27153.142158,24,2.860181
-27188.536874,24,2.881362
-27015.777849,24,2.903115
-26964.085981,24,2.924743
-27141.618401,24,2.954446
-27009.507439,24,2.976574
-26798.562223,24,2.998558
-27499.477217,24,3.021359
-27280.824587,24,3.045012
-27218.704961,24,3.069785
-26753.405231,24,3.098213
-27357.563993,24,3.123476
-27238.928177,24,3.146555
-27050.344991,24,3.171922
-27014.633467,24,3.193854
-26887.568047,24,3.218563
-27020.948196,24,3.242412
-27211.200375,24,3.265366
-27278.829375,24,3.288118
-27345.626467,24,3.310559
-27151.422398,24,3.331411
-27279.680624,24,3.350455
-27387.773173,24,3.369295
-27251.244693,24,3.391069
