#{"t_start": 1618330862.480621, "env_id": "ElectricityMarketDiscrete-v0"}
r,l,t
-252.306933,24,1.235203
-466.316352,24,1.257682
74.252324,24,1.27574
-12.668998,24,1.2918
-243.512599,24,1.305908
-38.186471,24,1.321206
-295.006936,24,1.336209
-353.568929,24,1.351177
-553.639278,24,1.366506
-261.609085,24,1.38076
-336.723173,24,1.395913
-334.037438,24,1.411051
-289.909093,24,1.42641
-335.115506,24,1.441363
-406.709454,24,1.455346
-232.627796,24,1.470618
-326.384338,24,1.485693
-343.484092,24,1.501012
-217.2058,24,1.516343
-449.198927,24,1.530491
-303.013478,24,1.547037
-390.814847,24,1.565326
-384.874098,24,1.580529
-241.63687,24,1.595385
-232.319582,24,1.608968
-350.983498,24,1.623964
-585.456845,24,1.639002
-711.764672,24,1.654335
-410.470583,24,1.669478
-427.313469,24,1.683528
-506.465736,24,1.698716
-474.093386,24,1.713813
152.933083,24,1.728631
-299.046614,24,1.74347
-362.709594,24,1.757522
-316.446642,24,1.772614
-413.226376,24,1.787557
-263.553161,24,1.802658
-232.944349,24,1.817699
-453.16354,24,1.831303
-359.552168,24,1.846214
-268.672369,24,1.862584
-370.271609,24,1.880771
-517.971814,24,1.89619
-374.694522,24,1.910027
-457.605524,24,1.925123
-216.30198,24,1.940208
-146.480657,24,1.954915
-534.560078,24,1.969621
-522.911122,24,1.983519
-255.227414,24,1.998759
-341.675829,24,2.013996
-465.705628,24,2.028887
-227.825763,24,2.043898
-214.983287,24,2.057776
-475.531986,24,2.072551
-416.194412,24,2.087603
-564.973094,24,2.102785
-411.529164,24,2.117571
-312.869056,24,2.131542
-382.329307,24,2.146439
-285.028595,24,2.161574
-249.040436,24,2.17787
-230.797062,24,2.198184
-372.159521,24,2.212748
-251.493554,24,2.227677
-708.114614,24,2.24267
-600.991784,24,2.257791
-558.54126,24,2.27275
-405.163192,24,2.286605
-248.056313,24,2.301692
-577.926657,24,2.316812
-95.849908,24,2.332112
-160.742197,24,2.347433
-311.735828,24,2.361388
-621.444983,24,2.376471
-275.938617,24,2.391723
-318.862276,24,2.406846
-207.905555,24,2.422
-13.812159,24,2.435788
-382.128724,24,2.450843
-227.641424,24,2.465719
-392.843144,24,2.48078
-281.005897,24,2.498195
-324.283058,24,2.514698
-250.948356,24,2.530287
-419.977503,24,2.545157
-341.627837,24,2.560393
-423.207853,24,2.575581
-172.358431,24,2.589726
-441.705479,24,2.60476
-296.573715,24,2.62019
-306.757734,24,2.635259
-484.836717,24,2.65016
-417.141987,24,2.664172
-341.963642,24,2.67961
-563.511409,24,2.694866
-632.780074,24,2.710045
-212.311114,24,2.724926
-167.95522,24,2.738785
-394.032168,24,2.753879
-630.450688,24,2.768767
-283.946499,24,2.783508
-442.833544,24,2.798479
-307.446789,24,2.815511
-134.500631,24,2.832635
-240.547672,24,2.848169
-59.742339,24,2.863324
-205.791876,24,2.878285
-164.29702,24,2.892324
-208.186037,24,2.907561
-220.62391,24,2.922548
-232.538648,24,2.937437
-193.875295,24,2.952533
-0.880081,24,2.966404
-189.147005,24,2.981517
-565.255695,24,2.996359
-160.634014,24,3.011359
-401.339555,24,3.026581
-54.37356,24,3.040612
-61.515924,24,3.05578
-267.319885,24,3.071019
-414.162237,24,3.086171
-315.974635,24,3.100909
-523.792962,24,3.114734
-369.940633,24,3.133568
-140.865425,24,3.153017
-31.342999,24,3.171622
-60.57862,24,3.187155
-47.410528,24,3.201232
12.146571,24,3.216399
-363.422056,24,3.231594
-282.679619,24,3.246593
-330.841187,24,3.261535
-298.058861,24,3.275469
116.315158,24,3.290278
-273.505335,24,3.305271
-49.139268,24,3.320426
-229.909389,24,3.335336
-309.638485,24,3.349141
-513.996129,24,3.364284
-306.760667,24,3.379355
-315.822372,24,3.394856
-40.636943,24,3.409583
-94.958344,24,3.423589
-262.730704,24,3.439901
-152.391416,24,3.45757
-202.353383,24,3.47298
-276.054469,24,3.488253
-370.808331,24,3.502283
-280.02976,24,3.517474
-37.069766,24,3.532384
-306.424893,24,3.547491
184.06889,24,3.562309
-294.245884,24,3.576349
-192.069336,24,3.591616
-167.530789,24,3.60671
-215.035154,24,3.621741
-186.050399,24,3.636802
-172.119871,24,3.650608
-444.538303,24,3.665641
-382.854348,24,3.680713
16.39835,24,3.695696
-125.316801,24,3.710928
-16.612043,24,3.725014
-79.654667,24,3.740282
-115.938631,24,3.756376
-74.213535,24,3.773905
-5.547192,24,3.78908
-291.936138,24,3.803016
-408.340705,24,3.817965
-22.505908,24,3.832792
-128.543953,24,3.84785
-333.128092,24,3.862875
20.438821,24,3.876743
-320.13648,24,3.891679
-193.727447,24,3.906774
133.625656,24,3.921709
-300.768585,24,3.936725
-120.789657,24,3.950651
-219.508732,24,3.965578
-160.453401,24,3.980562
28.748058,24,3.995484
-236.753428,24,4.010435
-160.815987,24,4.024234
-31.262924,24,4.039266
-43.359913,24,4.05445
-33.797569,24,4.071256
-116.079456,24,4.088375
11.27319,24,4.103141
-249.013595,24,4.118191
-230.331079,24,4.133187
44.018904,24,4.148133
-1.012177,24,4.163123
-230.481153,24,4.177123
-162.363129,24,4.192154
-123.128558,24,4.206975
-120.26982,24,4.221988
262.366588,24,4.236877
90.201589,24,4.250716
55.229072,24,4.266037
247.003965,24,4.281068
4.231581,24,4.295916
66.620994,24,4.310806
-111.516203,24,4.324919
160.611383,24,4.339943
7.508241,24,4.355084
-263.614335,24,4.37013
-214.476066,24,4.387679
62.865822,24,4.402856
21.83182,24,4.418057
-196.161012,24,4.433015
106.441508,24,4.448048
98.938033,24,4.463159
404.827494,24,4.47729
7.676836,24,4.492248
331.528777,24,4.507248
5.814674,24,4.52231
-157.850495,24,4.537349
103.580408,24,4.551449
138.256474,24,4.566664
313.413013,24,4.58178
365.788667,24,4.596922
107.237664,24,4.611777
437.812724,24,4.625903
157.028838,24,4.641147
122.585161,24,4.656318
220.08828,24,4.671065
14.456577,24,4.686103
-126.127987,24,4.702663
246.920201,24,4.718844
216.929169,24,4.733972
119.133064,24,4.749016
242.991582,24,4.763867
292.21173,24,4.7776
442.804761,24,4.792404
150.773652,24,4.807435
496.263072,24,4.822346
377.810215,24,4.837123
340.421118,24,4.850859
133.035282,24,4.865747
355.59529,24,4.880545
220.001444,24,4.895267
23.382197,24,4.910356
115.438337,24,4.924066
385.302777,24,4.93895
411.856609,24,4.953757
443.485432,24,4.968575
390.918546,24,4.983338
323.944058,24,4.997028
361.61595,24,5.014896
488.368226,24,5.030932
462.628379,24,5.04604
209.236641,24,5.060465
243.106925,24,5.07335
68.324026,24,5.087436
-37.083327,24,5.101732
358.824891,24,5.115887
356.742046,24,5.129716
249.128933,24,5.142482
422.698215,24,5.156388
382.510952,24,5.170943
491.336493,24,5.185043
440.311608,24,5.199128
221.365451,24,5.212045
513.718982,24,5.226067
505.234213,24,5.24008
318.81228,24,5.254088
379.494503,24,5.268004
414.913464,24,5.280995
253.234014,24,5.296164
387.840359,24,5.315233
362.199474,24,5.329817
510.353767,24,5.344044
498.354199,24,5.357223
492.438794,24,5.371269
294.460729,24,5.385332
483.520595,24,5.399338
421.843126,24,5.41357
424.812977,24,5.426686
375.624128,24,5.440628
440.632619,24,5.454556
583.654713,24,5.468376
449.101785,24,5.48233
446.631559,24,5.495203
666.496641,24,5.509264
419.027936,24,5.523021
655.747732,24,5.536881
500.495739,24,5.550617
508.962176,24,5.563567
602.841379,24,5.577896
635.12108,24,5.59316
716.597123,24,5.611748
514.846532,24,5.626095
588.86074,24,5.639259
