# {"t_start": 1683767813.301423, "env_id": "Humanoid-v2"} 
r,l,t
128.550787,28,0.70528
94.024455,19,0.740989
81.574275,17,0.771616
92.365356,20,0.805985
165.625561,34,0.874895
81.546989,17,0.905531
116.997377,24,0.964352
137.047434,27,1.017202
81.070956,17,1.049692
136.790626,26,1.100105
150.813775,30,1.158091
120.680135,24,1.207566
80.990704,17,1.240553
92.401822,20,1.280955
109.579619,22,1.331432
87.725026,18,1.362999
81.557749,17,1.393154
119.989581,24,1.4401
91.990805,19,1.475417
143.213771,30,1.532375
131.133908,25,1.582471
89.211628,19,1.621129
81.035347,17,1.648947
168.089179,35,1.716199
108.480593,23,1.755908
125.56215,25,1.802851
98.141746,20,1.838669
85.73177,18,1.874462
76.659724,16,1.906887
137.230346,27,1.958224
81.26927,17,1.989055
107.136905,25,2.035325
99.963456,20,2.071982
85.950857,18,2.10438
87.313039,18,2.137281
149.848573,29,2.196308
111.228184,22,2.238016
81.498783,17,2.269136
81.175077,17,2.298249
85.813618,18,2.329199
87.008775,18,2.359375
113.84955,23,2.400258
81.228772,17,2.430169
86.228803,18,2.463275
86.244599,18,2.49484
76.561226,16,2.524044
95.126906,19,2.557523
81.38865,17,2.587569
115.242756,23,2.630944
81.828439,17,2.661073
124.815912,25,2.704765
130.461445,26,2.750834
81.40089,17,2.780728
81.731279,17,2.811904
86.288699,18,2.843501
94.150865,20,2.88144
175.821861,35,2.943605
81.205585,17,2.972866
128.498005,25,3.01639
221.238368,45,3.104125
105.779298,23,3.148245
115.387514,24,3.194845
86.528585,18,3.229425
81.360765,17,3.262514
101.900578,21,3.30094
81.577048,17,3.333593
95.676189,20,3.37103
87.133658,18,3.403466
115.820506,24,3.450305
72.139592,15,3.47805
110.510136,22,3.520065
76.55607,16,3.5487
81.542989,17,3.579178
98.500605,20,3.615331
115.306714,23,3.658223
76.37057,16,3.685257
83.145964,17,3.713787
158.072226,32,3.770871
98.052036,20,3.806153
81.555512,17,3.83593
81.271692,17,3.866278
76.631201,16,3.894463
140.77072,28,3.944744
100.073423,20,3.980485
113.011854,23,4.021252
81.408418,17,4.050151
139.089014,29,4.101848
81.251178,17,4.133047
90.050266,18,4.164971
86.168602,18,4.197821
88.297827,19,4.232406
100.930234,21,4.269689
86.067978,18,4.300745
98.732739,20,4.335058
81.128606,17,4.364557
81.279669,17,4.393341
82.177967,17,4.43141
76.510775,16,4.466474
141.42109,28,4.518615
170.546219,34,4.580736
81.018913,17,4.610593
129.880207,27,4.658669
110.740595,22,4.69803
92.642999,19,4.731833
76.623056,16,4.760361
81.356101,17,4.791087
106.472786,22,4.830702
109.506324,22,4.870038
76.482831,16,4.898273
76.325413,16,4.926543
113.924998,23,4.967653
97.637294,20,5.002969
94.310144,19,5.036079
81.41612,17,5.066192
133.954642,27,5.11373
112.727179,23,5.154845
81.548496,17,5.184377
112.257696,22,5.224358
81.426351,17,5.252901
86.222653,18,5.284057
129.44224,28,5.336221
102.991128,21,5.373875
135.849861,27,5.423134
86.984037,18,5.455195
92.555054,19,5.491211
81.313263,17,5.522559
88.974605,18,5.556661
136.525724,27,5.60885
136.884884,28,5.659783
110.137565,24,5.702916
86.577743,18,5.734519
76.73897,16,5.762502
91.930517,19,5.795562
130.262884,29,5.844565
94.033409,19,5.877071
120.596936,24,5.921139
124.228567,25,5.964809
97.317994,20,5.998375
93.916766,20,6.033705
81.900409,17,6.064586
132.944471,27,6.11304
80.95555,17,6.141852
124.136027,26,6.187679
76.320381,16,6.21835
102.959619,22,6.256022
76.563898,16,6.282748
116.921975,26,6.32779
87.172484,18,6.360975
168.519471,33,6.418604
76.294367,16,6.445902
76.643137,16,6.474388
167.78403,35,6.535897
121.06415,24,6.577388
161.661758,31,6.62995
86.433545,18,6.660568
81.92891,17,6.690365
81.221393,17,6.722055
97.255783,20,6.757249
81.253276,17,6.787563
