#{"t_start": 1637035501.5861251, "env_id": "MountainCarContinuous-v0"}
r,l,t
-53.429945,999,1.648769
-49.590781,999,2.266655
-49.924354,999,2.89945
-50.121436,999,3.472952
-45.676178,999,4.069467
-43.545996,999,4.665003
-41.225147,999,5.237513
-39.757602,999,5.80375
-35.428582,999,6.396091
-32.756902,999,7.003044
-27.986322,999,7.663158
-25.499579,999,8.266418
-24.56372,999,8.86867
-21.338834,999,9.437595
-18.896792,999,10.024629
-16.471311,999,10.58873
-15.526595,999,11.160145
-14.349826,999,11.724235
-12.049924,999,12.295368
-10.681551,999,12.860504
-11.206949,999,13.426733
-9.84805,999,14.172749
-9.694424,999,14.84863
-8.819596,999,15.46657
-8.540837,999,16.050329
-8.493882,999,16.624146
-7.940377,999,17.21574
-7.314403,999,17.833898
-6.811138,999,18.496392
-6.686,999,19.103669
-6.665868,999,19.698651
-5.89018,999,20.2868
-5.892863,999,20.874077
-5.396239,999,21.475434
-5.862284,999,22.076836
-6.042432,999,22.658079
-5.96936,999,23.250272
-5.620537,999,23.820211
-5.709414,999,24.390686
-5.347429,999,24.964955
-5.380179,999,25.549671
-5.475677,999,26.113903
-5.682529,999,26.683833
-5.657395,999,27.272554
-5.572984,999,27.85339
-5.696337,999,28.434809
-4.904347,999,29.028469
-5.154689,999,29.632718
-5.144169,999,30.379625
-4.883357,999,31.042755
-5.049329,999,31.655326
-5.057527,999,32.290364
-4.789944,999,32.860901
-5.089362,999,33.433865
-4.987281,999,34.036265
-5.123666,999,34.655626
-5.004147,999,35.288982
-4.795611,999,35.898201
-5.173669,999,36.529544
-5.3518,999,37.126831
-5.316684,999,37.745394
-5.616989,999,38.373422
-5.29889,999,38.978514
-5.080629,999,39.746893
-5.77331,999,40.452938
-5.15859,999,41.090995
-5.106763,999,41.741352
-5.306466,999,42.370629
-4.864092,999,43.005589
-5.031643,999,43.617547
-4.876367,999,44.254996
-5.292667,999,44.850894
-5.062913,999,45.470853
-5.004792,999,46.071629
-5.061336,999,46.658813
-4.9583,999,47.295893
-5.570542,999,47.902135
-4.726083,999,48.515453
-5.062706,999,49.133547
-5.577012,999,49.760306
-5.360547,999,50.361558
-5.424871,999,50.98625
-5.254544,999,51.616522
-6.053626,999,52.229151
-5.881911,999,52.838884
-5.502698,999,53.50567
-5.48853,999,54.114985
-5.817673,999,54.704241
-5.298356,999,55.294002
-5.539544,999,55.857475
-5.538733,999,56.434148
-5.383219,999,57.000272
-5.446381,999,57.57291
-5.386988,999,58.139947
-5.326608,999,58.765972
-5.11327,999,59.414501
-5.400469,999,60.023519
-4.757289,999,60.621716
-4.989826,999,61.226378
-5.53439,999,61.846484
