#{"t_start": 1624253857.164216, "env_id": "ElectricityMarket-v0"}
r,l,t
-448.963545,24,0.780574
-350.288505,24,0.792408
-642.704822,24,0.80232
-506.183876,24,0.810644
-471.832291,24,0.819271
-712.954408,24,0.827363
-328.640566,24,0.835583
-207.029133,24,0.844067
-475.866421,24,1.032572
-133.568206,24,1.043791
-466.422029,24,1.054731
-428.157113,24,1.062993
70.738105,24,1.162708
241.788834,24,1.170041
334.445121,24,1.177453
188.18652,24,1.184779
249.696983,24,1.300299
316.413729,24,1.307875
281.51526,24,1.31521
469.387605,24,1.32254
623.482554,24,1.414212
377.188256,24,1.421771
425.235784,24,1.429081
218.32073,24,1.436407
201.670622,24,1.443808
285.62792,24,1.535531
231.036989,24,1.543168
557.766358,24,1.550468
523.203922,24,1.557783
550.937989,24,1.648833
358.395275,24,1.656153
336.89573,24,1.663446
508.415807,24,1.670753
420.519075,24,1.762261
435.449851,24,1.769612
229.954171,24,1.776961
114.761761,24,1.784282
612.118467,24,1.877945
535.263927,24,1.885622
160.054582,24,1.892946
342.830158,24,1.900308
520.138235,24,1.994281
332.34376,24,2.002727
585.334239,24,2.013831
617.173375,24,2.022308
276.300052,24,2.14014
364.31506,24,2.148941
488.338547,24,2.157283
281.84526,24,2.16513
283.273705,24,2.172444
199.816929,24,2.26666
488.012141,24,2.274054
507.543349,24,2.281394
530.288219,24,2.289567
363.381953,24,2.391735
356.649883,24,2.399189
544.039584,24,2.406571
391.608988,24,2.413975
660.161713,24,2.508572
232.381025,24,2.516285
382.594823,24,2.523839
470.490863,24,2.531167
485.897241,24,2.625391
452.586886,24,2.632899
655.959113,24,2.640339
368.055497,24,2.647701
428.038904,24,2.744105
493.149631,24,2.751739
284.061198,24,2.759141
573.962728,24,2.766672
176.218263,24,2.860969
359.166081,24,2.868365
550.416543,24,2.875766
213.10281,24,2.883099
538.812075,24,2.89041
438.663127,24,2.984081
516.043409,24,2.991419
319.822217,24,2.99875
452.249947,24,3.006032
366.567479,24,3.102286
440.006284,24,3.110106
216.520144,24,3.117566
430.268509,24,3.125014
408.62928,24,3.218865
247.286288,24,3.226184
598.247005,24,3.233733
420.503599,24,3.24221
606.305298,24,3.338869
481.070917,24,3.346381
570.375829,24,3.35375
412.697795,24,3.361106
246.338584,24,3.456225
234.651796,24,3.463798
125.680879,24,3.471366
55.137645,24,3.478707
547.258259,24,3.579203
619.063252,24,3.58653
364.071291,24,3.594292
271.398292,24,3.602466
295.324904,24,3.610042
417.265968,24,3.713489
393.576166,24,3.723195
212.739714,24,3.731668
466.983138,24,3.740507
601.645235,24,3.852507
351.398908,24,3.859937
547.55101,24,3.867218
498.300634,24,3.874536
296.9797,24,3.971443
254.047555,24,3.97955
312.586298,24,3.989796
305.844158,24,3.998204
255.536204,24,4.098608
426.964567,24,4.106322
496.973533,24,4.113733
321.610881,24,4.122148
446.437194,24,4.224465
188.91638,24,4.231954
393.511138,24,4.239342
398.259379,24,4.247083
236.639243,24,4.346242
471.585347,24,4.353775
484.998181,24,4.361091
538.062323,24,4.368404
483.615107,24,4.375787
103.406273,24,4.471876
418.61655,24,4.479236
313.173416,24,4.486523
429.023205,24,4.494001
516.614807,24,4.591198
448.570229,24,4.598517
423.655052,24,4.60583
319.683775,24,4.613203
415.959932,24,4.708448
406.22113,24,4.715924
540.224783,24,4.723482
528.335573,24,4.73159
370.466101,24,4.828358
376.669213,24,4.835954
472.901077,24,4.843549
96.394755,24,4.850852
440.447236,24,4.946911
651.584713,24,4.954228
325.067493,24,4.961522
354.741717,24,4.968947
127.595914,24,5.066175
393.723382,24,5.073641
588.34627,24,5.080943
454.808527,24,5.088425
549.439817,24,5.095884
483.806747,24,5.196574
613.132541,24,5.204081
294.830695,24,5.211377
550.085649,24,5.218781
368.167104,24,5.316538
443.708664,24,5.323938
554.910179,24,5.331675
479.048101,24,5.340699
634.054893,24,5.443269
502.674527,24,5.450729
380.395723,24,5.458056
463.226087,24,5.465602
335.945085,24,5.561317
343.357829,24,5.568686
325.734116,24,5.576104
334.002103,24,5.584205
283.367304,24,5.682166
270.821729,24,5.689725
433.083503,24,5.697031
629.027686,24,5.704332
400.375259,24,5.802155
580.772208,24,5.81036
398.324438,24,5.817823
374.022214,24,5.82517
270.753708,24,5.832526
263.385402,24,5.930521
393.696188,24,5.938166
315.752255,24,5.945464
465.682302,24,5.952783
429.679105,24,6.049346
628.922689,24,6.056924
552.404851,24,6.064188
139.293224,24,6.071462
713.529143,24,6.169043
519.570731,24,6.176428
484.523352,24,6.183847
65.920811,24,6.191194
310.09268,24,6.287979
571.343597,24,6.295312
236.983215,24,6.302833
382.78486,24,6.310101
526.864175,24,6.419918
412.013523,24,6.427374
279.528136,24,6.434901
341.5018,24,6.442882
271.571299,24,6.540167
704.17988,24,6.547542
530.679492,24,6.555133
386.457692,24,6.562481
498.055464,24,6.569869
