# {"t_start": 1683541280.542377, "env_id": "Ant-v2"} 
r,l,t
-104.625591,90,1.122005
-19.901544,19,1.15262
-24.249001,77,1.276955
-11.77508,63,1.377567
-147.724317,149,1.613081
-1058.772577,1000,3.268109
-16.107089,28,3.312499
-56.815822,36,3.369114
-313.201476,246,3.766643
-30.372789,22,3.802201
-108.544748,112,3.980112
-107.218207,88,4.119981
-83.48844,51,4.206058
-106.697094,43,4.275982
-213.14521,128,4.907073
-74.819947,73,5.024932
-95.673967,62,5.127563
-8.885753,13,5.148994
-32.01142,49,5.230487
-44.192993,58,5.324283
-44.333499,45,5.396661
11.730269,41,5.46304
-70.094175,69,5.57397
-83.855666,86,5.716259
-5.847051,18,5.747212
-151.196633,267,6.185921
-168.835111,119,6.392
-27.864495,16,6.420445
-98.132742,117,6.615509
-49.431387,63,6.719181
-61.260039,69,6.830531
-24.068723,22,6.868684
-91.119011,51,6.95337
-92.432496,83,7.096508
-54.359669,65,7.201875
-32.051626,31,7.253873
-85.129324,66,7.375031
-6.407556,16,7.402447
-50.646776,31,7.456123
-179.184973,162,7.735371
-1192.638461,1000,9.836563
-22.660198,12,9.856175
-26.411494,27,9.899604
-39.647873,59,9.995358
-39.579493,52,10.084636
-1047.848635,1000,11.7668
-87.100925,72,11.891049
-48.354034,36,11.949789
-26.180881,12,11.974148
-15.051183,42,12.439528
-38.88281,27,12.487188
-90.063068,95,12.646725
-156.891187,163,12.922867
-24.566959,20,12.95555
-44.743162,36,13.020407
-47.247552,67,13.131952
-62.872691,69,13.244313
-1051.147651,1000,14.974836
-45.708121,44,15.052301
-24.207337,14,15.074659
-1075.273746,1000,17.802088
-29.462249,22,17.862917
-58.016676,114,18.1936
-14.906767,12,18.223589
-28.471912,20,18.273958
-9.060202,35,18.357704
-20.324965,14,18.389813
-63.103822,89,18.592714
-33.221259,51,18.712351
-996.245626,1000,20.916716
-22.833967,88,21.090668
-100.496153,128,21.752284
-950.669638,1000,24.045864
-43.527227,23,24.093122
-50.369588,74,24.24788
-21.761179,39,24.332318
-22.364568,21,24.376996
-202.006252,167,24.732696
-26.418405,22,24.782785
-48.618017,34,24.864306
-27.04979,42,24.958301
-16.417619,34,25.036333
-74.631388,63,25.16679
-30.110521,30,25.229293
-27.960678,26,25.283112
-1032.575895,1000,28.271081
-33.695514,51,28.384575
-21.146357,18,28.422586
-83.409229,159,28.782284
-62.339098,114,29.036251
-63.411866,46,29.13257
-11.752167,9,29.151363
-18.700861,16,29.184363
-29.288224,16,29.218222
-9.475399,34,29.289865
-108.830358,131,29.56053
-33.62842,36,29.632095
-51.21735,41,29.713445
-47.856254,52,29.819733
-25.654587,23,29.866366
-11.287415,15,29.896193
-171.70745,103,30.099948
-14.813125,77,30.279924
-15.900903,19,30.317771
-9.0528,16,30.350293
-198.681713,173,30.713602
-37.605743,46,30.802354
-8.28594,20,30.841493
-179.137687,167,31.163137
-152.270577,89,31.336415
-1108.685586,1000,33.730028
-61.134376,37,33.80519
-71.021615,33,33.872854
-33.299691,19,33.913096
-38.923054,43,33.999461
-28.577828,47,34.093466
-47.20569,29,34.150599
-33.783762,56,34.262056
-18.189979,36,34.333426
-21.182767,16,34.365349
-975.788353,1000,36.84121
-85.081582,145,37.130896
-1.80641,16,37.162974
-13.44267,15,37.193251
-63.352671,34,37.261708
-34.810515,23,37.307187
-7.974292,13,37.333706
-10.521026,12,37.35796
-35.98916,63,37.484715
-164.412558,165,37.818009
-29.909364,29,37.874668
-11.427063,23,37.919388
-5.888959,17,37.953968
-196.504401,88,38.124233
-113.60825,84,38.288536
-14.027848,12,38.312564
-48.979691,42,38.395052
-33.796134,35,38.466217
-24.535797,19,38.502905
-31.328203,30,38.560411
-35.097512,25,38.608993
-7.756085,11,38.630587
-2.349373,16,38.662211
-95.527094,116,38.885492
-26.597652,36,38.957021
-100.845642,81,39.113388
-25.575197,16,39.144549
-89.565654,69,39.277186
-45.199224,35,39.345236
-31.57987,53,39.447983
16.607653,27,39.505075
-71.716203,92,39.682729
-1025.621751,1000,42.292413
-68.66557,66,42.437418
-113.842697,120,42.715443
-80.852296,134,43.012785
-83.125718,81,43.185242
-957.830829,1000,45.285081
-16.130904,13,45.758496
-6.089364,25,45.811957
-20.549337,31,45.875717
-123.728211,108,46.100962
-117.960469,88,46.280475
-85.827454,95,46.476783
-11.660572,26,46.531239
-1.303334,16,46.565343
-44.84731,51,46.670261
-34.003829,46,46.767121
-194.339389,124,47.021842
-109.557594,70,47.167727
-66.76589,66,47.304549
-983.630475,1000,49.35465
-2.403211,24,49.402814
-40.503045,26,49.454856
-134.397538,127,49.705399
-82.149644,45,49.794548
-42.79447,32,49.858339
0.285999,21,49.900925
-47.299566,55,50.442568
-3.410257,34,50.515357
-72.161638,71,50.665339
-0.540284,24,50.714043
-65.059139,82,50.879613
-21.775588,12,50.906242
-12.456559,46,51.005541
-32.685779,31,51.068314
-958.394804,1000,53.164252
-52.353313,45,53.270486
-29.025473,15,53.302134
-127.038608,109,53.53441
-14.365894,17,53.569907
-42.301317,29,53.627485
-81.019372,54,53.737471
-43.977477,44,53.82845
-20.198763,41,53.912868
-76.231199,62,54.04073
-82.068456,69,54.18024
-117.825427,93,54.368175
-12.289985,11,54.390706
-26.996671,31,54.454527
-21.265245,34,54.524468
-969.353643,1000,57.107527
-15.427765,20,57.156871
-76.080456,74,57.329983
-34.16607,23,57.384518
-17.44315,17,57.43371
-14.030448,40,57.54415
-22.906435,18,57.590702
-13.900793,10,57.616652
-21.563331,21,57.667911
-18.85177,26,57.731031
-74.099875,34,57.805432
-9.693479,10,57.826093
-4.885356,14,57.862562
-74.330151,73,58.071209
-12.610564,26,58.131323
-56.358034,62,58.269559
-50.399575,116,58.556834
-105.421792,72,58.731179
-61.345982,46,58.848683
-33.706744,50,58.973062
-34.060017,16,59.014293
-83.881426,91,59.244666
-19.799236,21,59.29475
-10.690531,18,59.340349
-22.699078,27,59.407426
-35.903778,35,59.493033
-50.117195,54,59.624174
-12.966148,13,59.656623
-105.10667,69,59.832564
-59.924356,51,60.478339
-48.620754,26,60.546696
-101.383284,142,60.913402
-24.74124,38,61.009178
-39.18798,60,61.15783
-22.365571,26,61.226803
-13.047227,19,61.27433
-117.641299,102,61.527562
-89.47504,60,61.68466
-29.716992,22,61.738035
-31.481334,26,61.805767
-28.723767,44,61.923464
-34.239218,54,62.074275
-78.389548,122,62.378554
3.655435,34,62.471682
-96.870168,104,62.753262
-13.625545,19,62.802157
-26.135193,23,62.85875
-938.545694,1000,65.259767
-79.748301,63,65.413823
-109.733692,159,66.292523
-138.827885,188,66.736779
-49.094091,48,66.847172
-46.718282,39,66.941335
-98.55839,95,67.177326
-916.219347,1000,69.383581
-38.870826,35,69.458799
-1005.590521,1000,72.096903
-15.258282,17,72.133802
-60.711482,56,72.262557
-48.683082,96,72.519107
-159.299414,156,72.879498
-69.22359,51,72.995244
-14.654126,15,73.029519
-51.825523,46,73.13741
-24.196628,35,73.219758
-21.210133,29,73.298561
-92.984165,88,73.496379
-68.673458,68,73.655549
-10.691545,11,73.681308
-5.713264,12,73.708217
-79.480374,86,73.903683
-886.989678,1000,76.89339
-207.882083,206,77.379933
-15.547153,23,77.434728
-44.77366,55,77.565894
-105.640114,107,77.82077
3.210407,22,77.873704
-63.100171,49,77.997321
-76.523769,67,78.157252
-9.219087,34,78.237401
-15.487433,14,78.271278
-8.021286,13,78.302735
10.674856,79,78.608638
-8.288572,18,78.678665
-13.705502,15,78.72143
-912.415948,1000,81.201016
-132.817981,144,81.946265
-63.90265,80,82.130696
-83.855916,129,82.436699
-34.154102,61,82.585904
-51.303881,39,82.68125
7.739555,23,82.734585
-41.525648,60,82.874755
-922.359843,1000,85.327764
-6.83803,63,85.477146
-19.948598,22,85.531159
-124.880818,92,85.756492
-26.939109,33,85.838547
-7.397004,12,85.864783
-48.775491,74,86.017425
-129.586823,116,86.272995
-16.293096,23,86.337815
-55.654935,56,86.515869
-18.839599,23,86.581587
-18.102847,25,86.649476
-965.747648,1000,89.371372
-19.051668,36,89.446951
-21.301909,16,89.481042
-13.109234,14,89.517151
-18.915008,18,89.560487
-33.325971,64,89.712635
-11.864584,41,89.810672
-11.239859,36,89.901489
-54.602686,64,90.058455
-89.272163,69,90.219645
-23.665287,34,90.301131
-190.222659,144,90.650495
-880.64147,1000,93.209357
-28.710431,15,93.23912
-37.636396,33,93.303637
-273.138857,319,93.959402
-11.001284,19,93.998522
-814.636287,1000,96.269893
-32.848128,72,96.416691
-967.062362,1000,99.1898
-98.69839,54,99.31678
-898.520021,1000,101.508324
-2.068219,29,101.567468
-61.419586,51,101.679603
-67.868816,68,101.821496
-17.807528,13,101.848641
-33.848273,57,102.490105
-130.523092,94,102.7434
-904.00786,1000,105.118417
-24.717324,50,105.224034
-909.89986,1000,107.787947
-147.817998,144,108.098194
-16.166758,14,108.127668
-7.568042,17,108.164411
14.352642,29,108.227288
-41.583289,41,108.314141
11.085921,34,108.387341
-72.423662,114,108.644034
-854.96044,1000,111.013245
-21.926488,33,111.089016
-29.938624,20,111.139864
18.046367,25,111.193413
-12.348883,12,111.223257
-28.360357,38,111.325369
-126.634937,117,111.626797
-60.823923,110,111.872396
-28.377241,46,111.988363
12.719127,47,112.097094
-15.202656,12,112.121622
-18.389611,21,112.165199
-82.665715,92,112.845268
-54.702014,119,113.186244
-5.766693,28,113.260739
-17.137408,16,113.306408
-36.761078,99,113.532614
-912.116241,1000,115.694534
-77.377364,100,115.898832
-16.272284,13,115.925211
-3.102466,74,116.080577
-26.347116,90,116.262278
-0.446653,16,116.296295
-67.425908,118,116.564575
-164.613801,195,117.017413
2.589041,15,117.051515
-55.937979,66,117.204312
-0.630455,24,117.259187
-30.898526,18,117.301286
-66.081041,75,117.918175
-4.957495,20,117.959344
