#{"t_start": 1667874068.44579, "env_id": "ElectricityMarket-v0"}
r,l,t
-26987.270795,24,0.568446
-27249.624194,24,0.588483
-26856.244561,24,0.607892
-27219.881349,24,0.627818
-27221.503037,24,0.647742
-27268.887415,24,0.810711
-26983.371842,24,0.831085
-27157.723927,24,0.848859
-27312.679753,24,0.868171
-27279.979909,24,0.888293
-27327.395928,24,0.928107
-27277.324595,24,0.948116
-27193.11924,24,0.968483
-27065.515271,24,0.987881
-27319.25327,24,1.007166
-27053.966174,24,1.029073
-27307.548315,24,1.069596
-27589.518927,24,1.088554
-27294.743619,24,1.106981
-27294.840096,24,1.124279
-27043.259061,24,1.141421
-27348.724559,24,1.178517
-27220.659326,24,1.197628
-27099.16516,24,1.215815
-27185.084109,24,1.235028
-27121.016678,24,1.252174
-27338.208008,24,1.285379
-26950.202335,24,1.305359
-27358.73539,24,1.322498
-26832.312363,24,1.339662
-27092.456528,24,1.356392
-27300.549083,24,1.374963
-27430.48249,24,1.413184
-27379.786025,24,1.431503
-27519.172195,24,1.449077
-27286.30994,24,1.46844
-27166.296193,24,1.485446
-26977.503819,24,1.521017
-27212.174355,24,1.542131
-27162.534268,24,1.562723
-27521.763025,24,1.582193
-27324.456936,24,1.60122
-27422.738247,24,1.638333
-27108.301628,24,1.657898
-27160.237065,24,1.677382
-27314.667901,24,1.696555
-27331.426763,24,1.716008
-27188.545287,24,1.734874
-27044.774043,24,1.772153
-27296.154227,24,1.791136
-27059.293893,24,1.809888
-26936.27121,24,1.826692
-27136.883784,24,1.843225
-27191.979195,24,1.877446
-27071.174234,24,1.896023
-27305.945304,24,1.913302
-27216.525963,24,1.93
-27170.936013,24,1.94562
-27167.52387,24,1.978307
-27261.363769,24,1.997585
-27152.281087,24,2.015052
-27225.447182,24,2.031963
-27145.731094,24,2.048127
-27091.023888,24,2.064848
-27327.610882,24,2.101738
-27144.290469,24,2.119163
-27258.003396,24,2.135947
-27224.986303,24,2.151819
-27141.590406,24,2.167737
-27106.943499,24,2.201897
-27445.718649,24,2.220216
-26980.343094,24,2.237354
-27208.973223,24,2.253956
-27055.584272,24,2.26999
-27271.363313,24,2.305425
-26890.366288,24,2.325002
-27413.31311,24,2.342994
-27200.359069,24,2.3608
-26750.614784,24,2.377871
-26861.490874,24,2.394822
-27326.749115,24,2.43173
-27009.654412,24,2.450272
-27085.609964,24,2.467438
-26936.711068,24,2.484445
-27298.525677,24,2.501238
-27172.545304,24,2.536973
-27105.697347,24,2.556449
-27373.317662,24,2.575282
-27179.427959,24,2.594457
-26641.255079,24,2.614166
-27035.454968,24,2.654878
-27393.814879,24,2.674868
-27046.139813,24,2.694013
-27527.56442,24,2.713404
-27265.817433,24,2.732578
-26769.843609,24,2.752255
-27052.282541,24,2.794068
-27491.960766,24,2.813125
-27242.01662,24,2.832354
-26925.349398,24,2.852022
-27261.570527,24,2.87044
-27247.731433,24,2.906575
-27310.953551,24,2.925539
-26977.946024,24,2.943679
-27223.149158,24,2.961725
-27421.814401,24,2.979923
-26905.974897,24,3.020465
-27187.120244,24,3.039081
-27203.531019,24,3.059758
-27041.18573,24,3.07916
-26992.990574,24,3.098421
-27471.34317,24,3.118953
-27111.125935,24,3.160057
-27277.802862,24,3.179475
-27459.739302,24,3.198531
-27080.418925,24,3.217101
-26911.930302,24,3.234221
-26875.12906,24,3.268241
-26892.790745,24,3.286318
-27154.622105,24,3.304185
-27382.881439,24,3.330209
-27212.986335,24,3.354665
-27081.602868,24,3.392364
-27221.927229,24,3.410784
-26605.310798,24,3.4284
-26900.323418,24,3.446731
-27302.520367,24,3.463374
-27085.413172,24,3.479269
-27382.191493,24,3.512745
-27236.807573,24,3.557803
-26967.417445,24,3.575152
-27316.725899,24,3.594975
-27558.106441,24,3.614755
-26981.783909,24,3.649308
-27118.919445,24,3.666818
-27087.535582,24,3.682545
-27132.739188,24,3.699655
-27153.67272,24,3.716011
-26928.976224,24,3.748272
-27056.275384,24,3.765144
