#{"t_start": 1624257232.4457889, "env_id": "ElectricityMarket-v0"}
r,l,t
-2669.727124,24,0.52391
-2683.93919,24,0.531546
-2760.383087,24,0.538681
-2801.725352,24,0.546392
-2737.80565,24,0.553372
-2745.109497,24,0.728822
-2724.377601,24,0.741774
-2792.287511,24,0.752698
-2725.726455,24,0.760868
-2788.134961,24,0.768519
-2735.812412,24,0.794078
-2561.975392,24,0.80543
-2726.618892,24,0.816163
-2680.594602,24,0.824811
-2852.558185,24,0.832988
-2680.464807,24,0.840704
-2724.145258,24,0.868618
-2695.7527,24,0.881402
-2740.748388,24,0.889434
-2718.183733,24,0.897291
-2620.804362,24,0.904873
-2690.914883,24,0.931274
-2753.503217,24,0.946006
-2718.075994,24,0.955842
-2589.993306,24,0.963647
-2661.216883,24,0.972014
-2825.303966,24,1.022679
-2665.34102,24,1.035442
-2853.357854,24,1.045791
-2847.713883,24,1.055154
-2743.379907,24,1.062838
-2723.16123,24,1.070755
-2753.366929,24,1.098077
-2636.597323,24,1.107818
-2690.135378,24,1.115482
-2759.771209,24,1.12381
-2705.465187,24,1.131707
-2707.512941,24,1.157769
-2743.45417,24,1.168885
-2784.767264,24,1.178008
-2712.651895,24,1.186155
-2827.042623,24,1.194098
-2787.978713,24,1.218146
-2715.267237,24,1.2289
-2631.933676,24,1.239021
-2762.089285,24,1.247915
-2766.473149,24,1.256987
-2676.160679,24,1.267153
-2770.379289,24,1.295587
-2746.35262,24,1.304764
-2686.786421,24,1.31316
-2716.489449,24,1.32182
-2727.642031,24,1.330686
-2667.834467,24,1.358847
-2698.646516,24,1.367814
-2738.42408,24,1.377522
-2700.366542,24,1.386946
-2789.954787,24,1.396088
-2646.866942,24,1.424225
-2695.147925,24,1.43374
-2733.477727,24,1.443552
-2725.512652,24,1.452438
-2758.446157,24,1.460667
-2751.201343,24,1.470391
-2838.845609,24,1.497014
-2699.285172,24,1.506708
-2776.536141,24,1.51663
-2634.183683,24,1.524612
-2728.939404,24,1.532951
-2666.260622,24,1.562583
-2708.558411,24,1.5739
-2566.893618,24,1.584052
-2658.509042,24,1.592439
-2622.189053,24,1.601157
-2716.618974,24,1.628848
-2749.129245,24,1.637448
-2709.677132,24,1.646432
-2701.048941,24,1.654464
-2611.093987,24,1.663407
-2775.138872,24,1.671529
-2725.867956,24,1.698349
-2714.339933,24,1.706895
-2630.668493,24,1.714608
-2634.65265,24,1.724554
-2643.678772,24,1.73214
-2701.255804,24,1.758216
-2722.977545,24,1.768614
-2693.855881,24,1.776785
-2791.619224,24,1.785377
-2693.970348,24,1.793728
-2792.330053,24,1.820424
-2681.620818,24,1.829542
-2808.5221,24,1.838939
-2694.026111,24,1.847981
-2708.62775,24,1.856805
-2649.199119,24,1.8648
-2719.409496,24,1.892703
-2787.920773,24,1.901
-2719.250111,24,1.911402
-2641.306532,24,1.920442
-2660.454893,24,1.930153
-2702.163355,24,1.958787
-2608.857939,24,1.96706
-2796.719324,24,1.976086
-2737.636277,24,1.984545
-2696.551296,24,1.992752
-2761.094132,24,2.020244
-2678.115847,24,2.031351
-2705.955241,24,2.041724
-2640.387861,24,2.05062
-2657.130634,24,2.059167
-2814.26844,24,2.068226
-2645.309713,24,2.097085
