# {"t_start": 1683526623.9245498, "env_id": "Hopper-v2"} 
r,l,t
40.520257,48,0.865616
9.861787,14,0.882054
16.09056,22,0.910285
3.994259,8,0.920525
9.98429,14,0.937509
6.769398,9,0.948464
12.187918,20,0.972134
6.936053,10,0.983593
35.791459,63,1.061704
21.15391,28,1.09453
11.530818,13,1.109635
11.598952,15,1.127213
10.011143,17,1.14734
9.394231,16,1.1661
12.432584,18,1.197688
10.269526,16,1.226165
16.067017,19,1.254137
8.120025,10,1.266041
16.047802,22,1.295922
12.901034,15,1.313889
9.789515,14,1.330497
32.421193,26,1.36121
16.982073,18,1.382934
13.411618,15,1.40084
13.416289,17,1.420801
18.289048,19,1.443287
10.906949,19,1.46631
9.803875,12,1.480446
9.847227,21,1.505063
11.966469,18,1.526512
27.727726,25,1.555599
16.730095,26,1.586124
6.564853,9,1.59664
5.798464,9,1.60722
10.857982,15,1.625177
9.072077,16,1.643757
8.907113,25,1.672921
10.935906,22,1.698486
10.411768,16,1.717357
10.734755,14,1.733719
22.521771,22,1.75931
13.056574,19,1.781514
19.037922,20,1.804525
11.9704,12,1.818863
23.363653,37,1.862465
9.703252,14,1.879223
5.49155,8,1.888644
15.843523,19,1.910716
8.438279,16,1.929384
6.913153,10,1.941142
11.811828,14,1.957482
21.740292,24,1.985572
7.702732,10,1.997364
43.365407,40,2.043794
16.55142,27,2.075975
7.578783,10,2.087648
11.031884,20,2.110968
5.931603,11,2.124474
8.631393,15,2.142139
9.296391,11,2.155013
10.281583,12,2.169247
17.212949,19,2.191259
10.237699,15,2.20864
12.755715,14,2.224976
10.612843,13,2.240206
5.421893,9,2.250698
21.9118,34,2.289631
11.724859,11,2.302514
7.224389,12,2.316408
16.880281,16,2.335202
9.751295,16,2.354389
7.230189,14,2.370747
7.336818,11,2.383811
18.338801,18,2.404985
19.839988,20,2.42829
15.831181,28,2.460479
9.318026,11,2.473645
7.010462,10,2.485378
5.196845,10,2.497274
9.939253,12,2.511099
13.260742,15,2.528638
11.115421,13,2.543921
8.264654,14,2.56103
29.370184,25,2.590747
4.545054,12,2.605069
7.408066,10,2.617029
19.901906,32,2.65521
8.32876,12,2.669403
8.843347,12,2.683608
12.983076,15,2.701267
19.65387,21,2.726693
5.854457,9,2.738298
5.947168,11,2.752278
13.049622,15,2.771301
14.974547,26,2.805099
5.890202,8,2.815854
19.594145,23,2.845564
19.054253,17,2.867843
7.655908,10,2.881092
48.212782,34,2.924849
13.436493,22,2.95382
4.42759,7,2.962923
12.883646,15,2.981695
14.027371,14,2.999372
12.064923,19,3.023611
17.400258,19,3.04803
15.643698,17,3.068304
18.342082,18,3.089531
28.016926,30,3.125082
4.69422,9,3.135634
10.787153,15,3.153014
8.228387,19,3.175792
9.844383,20,3.199977
6.653345,10,3.212216
8.557071,11,3.225399
49.372038,56,3.707776
12.877814,19,3.734612
20.66776,24,3.769158
15.226191,19,3.794195
12.966437,20,3.818516
7.005022,11,3.832078
9.473364,12,3.846428
16.977865,31,3.88293
52.208447,47,3.938075
34.204143,31,3.975153
15.898777,17,3.995089
11.96289,20,4.018427
7.553223,11,4.031149
26.151139,25,4.060722
12.123846,14,4.077104
19.785437,23,4.104109
13.521992,18,4.125473
19.142659,19,4.147809
10.903826,13,4.163808
32.76742,29,4.198508
19.117489,18,4.22085
8.201113,20,4.245492
13.70348,22,4.273091
16.1632,18,4.295338
11.830529,13,4.311406
8.940898,12,4.326096
26.080143,32,4.363995
10.009027,13,4.379984
4.974257,10,4.391628
19.389865,23,4.419195
14.05224,14,4.435986
17.337169,18,4.457477
69.796886,45,4.515365
3.984818,26,4.546899
13.055801,17,4.568317
23.372339,27,4.601269
25.141101,21,4.626887
47.783798,37,4.672261
8.900046,30,4.708282
14.243546,15,4.726479
15.03934,15,4.746335
41.760551,30,4.80223
22.837232,26,4.852204
9.583327,11,4.866839
38.300802,38,4.918998
42.145382,38,4.96522
22.070898,21,4.990682
8.94039,16,5.009419
8.617949,12,5.023432
16.84367,26,5.054498
7.372047,14,5.071763
81.891315,70,5.15873
14.260203,28,5.193218
15.981258,16,5.213018
20.038408,24,5.242472
5.766725,16,5.262457
7.122861,14,5.279764
11.90587,16,5.299682
8.684378,32,5.33971
5.759852,13,5.355986
8.680811,18,5.378426
6.358755,12,5.393356
12.397918,14,5.410575
7.955501,10,5.423388
5.915671,11,5.437889
10.215742,16,5.45754
5.608601,7,5.466234
21.644633,31,5.504226
8.341878,12,5.519197
15.91204,35,5.562093
29.247143,33,5.602639
9.851281,26,5.635029
9.400984,13,5.650887
6.498441,14,5.668187
7.815583,20,5.692947
5.973376,17,5.714094
18.737525,26,5.746393
17.653317,28,5.780718
8.92755,13,5.796579
7.113877,12,5.811385
66.940995,39,5.85707
8.818516,15,5.874796
11.784692,24,5.903531
13.985605,15,5.921407
49.014444,33,5.959801
23.951377,38,6.004707
18.959478,19,6.027318
12.083152,19,6.049999
6.322265,8,6.059417
10.948754,28,6.093843
16.381182,19,6.119903
30.525974,26,6.152714
8.767442,13,6.168645
11.06966,13,6.185258
26.80213,25,6.215977
6.996971,15,6.234028
36.147153,30,6.565877
64.711399,81,6.663023
14.239618,29,6.696819
22.512419,27,6.728502
7.283337,18,6.749676
68.612678,41,6.798103
10.086193,13,6.813422
12.387038,28,6.846336
28.152119,25,6.87591
22.796928,26,6.906973
21.206429,23,6.934211
15.193327,28,6.967029
18.055563,27,6.998633
47.971975,41,7.046391
11.393977,14,7.06298
16.714615,20,7.086722
19.515297,23,7.11383
17.953766,39,7.161503
65.463619,62,7.23415
15.578399,17,7.254222
16.615384,18,7.275473
17.019494,19,7.299654
7.629438,10,7.311983
80.485482,48,7.370832
25.272896,24,7.40122
40.673938,33,7.440474
13.575843,14,7.457106
21.572497,20,7.480738
10.611988,14,7.498758
15.961531,17,7.519025
16.435659,16,7.53846
8.991034,15,7.556216
150.121677,72,7.655911
3.793893,11,7.683477
68.429408,43,7.779812
10.754234,42,7.868084
12.691179,27,7.912119
137.739125,70,8.014154
10.587368,12,8.031603
19.230493,34,8.076487
102.182756,78,8.192845
166.340185,106,8.3382
13.782625,16,8.35719
25.706611,28,8.391084
14.867037,25,8.421283
10.38008,16,8.440317
11.646888,33,8.482129
115.985148,63,8.572371
19.000885,19,8.605286
9.725512,16,8.634048
66.340356,40,8.689958
97.680955,59,8.766566
5.657037,23,8.793642
113.042964,68,8.871572
10.434794,21,8.896485
9.160798,20,8.919785
133.502951,73,9.003518
68.343798,61,9.073037
27.551589,22,9.098343
9.417465,31,9.134967
9.151342,11,9.147953
88.016561,52,9.208059
121.920597,71,9.602449
