# {"t_start": 1683702984.682195, "env_id": "Humanoid-v2"} 
r,l,t
81.634404,17,1.02233
93.991939,19,1.05877
76.461725,16,1.087658
91.879299,19,1.120925
91.841343,19,1.15399
103.37669,21,1.191759
110.165153,23,1.234349
140.279336,29,1.286604
146.521303,30,1.342804
76.484592,16,1.371847
81.129294,17,1.401192
86.482175,18,1.433385
81.178486,17,1.46372
76.23274,16,1.490896
92.134859,19,1.524042
133.724233,27,1.573814
103.422124,23,1.615385
81.325795,17,1.644839
88.699335,18,1.675735
180.404096,35,1.745864
88.973344,18,1.778887
76.677107,16,1.809346
81.274326,17,1.840948
114.989896,23,1.883199
86.699293,18,1.915523
82.693697,17,1.94446
87.780076,18,1.975883
101.967902,21,2.014557
153.193749,31,2.069709
76.600089,16,2.099438
86.750615,18,2.130976
114.452189,25,2.177115
133.945946,27,2.224947
113.015103,23,2.263735
81.536017,17,2.292019
106.989115,22,2.330117
92.9375,19,2.361995
108.622041,24,2.40305
99.06538,20,2.436654
76.390787,16,2.463107
86.306297,18,2.493289
83.72166,18,2.523891
115.427064,23,2.56322
133.524173,26,2.610253
89.639011,18,2.641907
76.397735,16,2.669494
146.650457,31,2.723554
192.859546,40,2.791108
146.580502,29,2.840623
76.430312,16,2.867081
114.961573,23,2.90673
81.196647,17,2.935669
86.998955,18,2.965823
114.596957,23,3.005503
81.258157,17,3.035716
77.026003,16,3.062672
158.465033,31,3.116254
86.120902,18,3.146519
142.029879,29,3.195667
81.154945,17,3.224066
88.140597,18,3.258195
123.170952,24,3.299158
104.550528,21,3.334718
134.757692,28,3.383765
114.157042,25,3.427381
76.414893,16,3.454107
110.571219,22,3.492682
117.81199,24,3.53275
143.247923,30,3.584034
121.191765,24,3.623949
86.888721,18,3.653239
87.129612,18,3.683774
102.110705,21,3.719085
126.973606,26,3.765609
183.453707,38,3.832543
107.911205,23,3.873062
110.258298,22,3.90936
76.957609,16,3.936238
144.99086,29,3.984251
81.327629,17,4.011697
88.098793,18,4.043527
83.012472,17,4.071436
86.391024,18,4.1009
141.706141,29,4.151451
81.447393,17,4.178589
126.037316,25,4.223892
92.21517,19,4.257024
81.428815,17,4.285957
106.742183,23,4.324283
81.584661,17,4.352067
81.545826,17,4.380274
92.198706,19,4.41177
109.36564,23,4.449829
91.339326,19,4.480889
81.377649,17,4.508755
81.327635,17,4.539407
113.670561,23,5.089085
91.725908,19,5.122106
108.453672,22,5.158837
86.494531,18,5.188065
76.813382,16,5.214485
88.382952,18,5.245954
120.452776,26,5.291073
136.879651,27,5.337929
123.265225,25,5.38011
140.829452,30,5.430319
81.357274,17,5.457836
98.390746,20,5.49047
132.585043,26,5.534037
81.243977,17,5.561164
215.707519,42,5.632335
85.708349,18,5.661698
76.415784,16,5.689057
123.727906,24,5.731764
92.148324,19,5.767963
88.872965,18,5.800557
81.407516,17,5.831558
170.692147,35,5.894757
76.839988,16,5.922857
97.713239,20,5.957446
88.265741,18,5.988738
167.374278,33,6.046853
93.539238,19,6.0795
99.731372,21,6.116138
153.210996,32,6.173249
86.55107,18,6.204337
102.360954,21,6.242415
119.758325,25,6.292796
86.207743,18,6.334282
87.898899,18,6.374486
81.12099,17,6.407545
85.710028,18,6.444626
98.934421,20,6.491886
95.12073,19,6.536335
159.242049,33,6.608358
109.266155,24,6.665419
98.056279,20,6.709773
91.661126,19,6.749736
91.257727,19,6.790655
81.412371,17,6.827704
87.08549,18,6.868186
120.47112,24,6.91862
190.399584,37,6.998484
164.339445,34,7.07019
97.012685,20,7.11331
129.93182,28,7.172528
161.284548,34,7.244569
90.367884,19,7.283581
136.585567,28,7.343839
81.449848,17,7.378996
81.369442,17,7.418167
91.830084,19,7.459725
96.947973,20,7.505965
130.756702,26,7.564343
134.278052,27,7.623561
81.417275,17,7.661726
90.202113,18,7.701822
176.204462,34,7.778796
92.501921,19,7.820058
199.747394,38,7.905927
109.332326,22,7.953389
125.352192,24,8.007742
102.826525,21,8.053671
87.00084,18,8.092648
89.043068,18,8.132607
81.412366,17,8.168149
115.290121,23,8.216976
86.182069,18,8.253483
93.369871,19,8.294
76.545575,16,8.329537
81.703598,17,8.36857
212.1505,43,8.477154
103.069477,21,8.521515
116.782495,23,8.569506
172.016523,34,8.639657
86.569207,18,8.679546
92.588057,19,8.71938
81.624813,17,8.753995
176.708314,36,8.833238
81.798389,17,8.870513
98.74769,20,8.914884
137.097434,28,8.98108
88.589661,18,9.023664
112.77956,23,9.077343
162.028153,34,9.159982
81.478629,17,9.200832
131.866321,27,9.89618
92.108627,19,9.940684
81.52987,17,9.983841
81.696426,17,10.025855
160.550142,32,10.104548
130.711735,28,10.176984
114.639161,23,10.235061
88.026329,18,10.279251
92.465387,19,10.325651
144.720552,31,10.410313
81.483908,17,10.463023
86.942241,18,10.510177
133.577746,26,10.576032
115.492517,23,10.627573
127.441882,25,10.681052
137.228839,27,10.738156
191.393524,38,10.822883
168.632512,36,10.907854
81.392639,17,10.944427
76.37665,16,10.980729
180.747573,39,11.075941
134.406091,27,11.139329
76.380993,16,11.176656
137.222739,28,11.241968
152.838803,31,11.311118
81.240723,17,11.348426
108.986457,22,11.398572
135.040622,27,11.466713
124.430692,25,11.528206
91.81733,19,11.578855
76.873733,16,11.632046
99.496453,20,11.674512
93.811735,19,11.718474
115.607137,25,11.773959
86.407442,18,11.813024
86.31023,18,11.853014
136.290169,28,11.910291
172.042923,35,11.983406
127.606921,25,12.0385
90.89823,19,12.080009
152.73792,30,12.149198
106.175048,22,12.200565
87.642935,18,12.24181
81.869265,17,12.27729
81.422997,17,12.312727
172.262974,36,12.390831
76.439268,16,12.425683
88.921945,18,12.469781
86.71452,18,12.509513
117.78379,24,12.566891
81.565894,17,12.609648
76.362598,16,12.649673
87.136429,18,12.691841
87.477236,19,12.740097
90.637595,19,12.785479
145.55831,29,12.857699
129.287024,25,12.931079
113.87267,22,12.998114
98.228325,20,13.051607
88.033314,18,13.096298
86.340896,18,13.139833
81.299114,17,13.177828
86.767218,18,13.216368
139.429357,28,13.279268
171.683071,35,13.376173
80.700259,17,13.418251
81.46164,17,13.456531
103.913834,22,13.505541
109.192098,22,13.559638
126.231989,25,13.627872
152.355965,32,13.704028
132.827139,28,13.768155
88.1499,18,13.810285
80.964627,17,13.850626
108.764865,22,13.904645
127.716123,25,13.961854
76.728811,16,14.00073
76.488008,16,14.037062
222.484422,48,14.149048
147.367015,29,14.215766
132.276785,26,14.272556
92.103043,19,14.31869
85.688729,18,14.358554
97.80178,20,14.410021
137.222079,28,14.480595
138.68407,28,14.544883
96.346099,20,14.591552
106.096185,22,14.644451
81.45506,17,14.687011
159.900434,32,14.784455
87.820348,18,15.52202
187.178205,36,15.607927
109.61173,22,15.656122
81.773387,17,15.694587
148.066001,30,15.75915
162.060189,32,15.830619
99.207481,20,15.873311
120.927286,27,15.933612
182.362101,38,16.016468
124.65305,25,16.068966
203.340878,42,16.161698
139.621619,29,16.224751
122.426412,25,16.285901
86.744869,18,16.323228
81.661199,17,16.367871
81.540875,17,16.405944
117.887802,24,16.464714
87.28204,18,16.513162
151.918117,32,16.582789
132.94174,28,16.650759
92.48548,19,16.69178
122.960526,25,16.745647
96.996951,20,16.789287
87.293958,18,16.828836
111.247498,23,16.884246
157.041999,31,16.955429
86.249029,18,16.995331
151.547516,30,17.060005
144.568111,30,17.123584
92.542142,19,17.165323
99.031662,20,17.208844
201.815861,39,17.299301
143.292093,29,17.359856
81.565561,17,17.394803
167.428845,33,17.464799
150.655051,30,17.531413
141.529479,29,17.597455
129.45945,25,17.653719
150.919826,31,17.722428
94.285385,19,17.763037
143.13176,29,17.824181
103.114237,21,17.869634
110.179881,22,17.916367
174.936526,35,17.991227
104.964674,22,18.037689
90.928738,19,18.075908
127.603164,25,18.13068
133.225774,29,18.192784
87.114026,18,18.22977
76.288804,16,18.261712
81.626471,17,18.295875
99.894481,21,18.338648
181.47715,36,18.411372
148.103578,30,18.471885
134.494825,28,18.529334
81.476022,17,18.562753
183.169427,39,18.647204
118.088975,24,18.696465
76.748272,16,18.728663
202.836766,44,18.822915
81.10219,17,18.858989
131.427499,27,18.916173
81.59561,17,18.951735
81.284019,17,18.985919
84.865164,18,19.022821
107.750042,22,19.068158
182.420696,38,19.152293
81.595652,17,19.188435
81.108764,17,19.222053
82.978708,17,19.256928
114.202081,23,19.303532
110.754852,23,19.351508
81.327431,17,19.386061
142.919254,29,19.444571
161.674115,32,19.509697
131.800938,27,19.564485
210.520991,41,19.662427
99.1878,20,19.704307
84.363497,18,19.741777
76.780604,16,19.775478
128.807997,28,19.834497
86.491874,18,19.871825
87.457638,18,19.908381
123.234441,26,20.502495
81.608567,17,20.537928
93.486653,19,20.577269
99.146574,20,20.618586
109.34119,22,20.664015
81.452982,17,20.704531
81.609091,17,20.740437
81.484375,17,20.774833
86.904128,18,20.812107
218.245188,46,20.912707
86.28011,18,20.949224
167.412214,33,21.019186
133.710142,28,21.077787
103.489908,21,21.120568
76.539707,16,21.152872
81.399252,17,21.188219
232.270589,45,21.282769
97.168846,21,21.328781
275.075876,59,21.462526
110.780664,22,21.509453
81.761181,17,21.544697
127.864409,25,21.598734
87.180258,18,21.637296
86.09798,18,21.680046
116.036348,23,21.739213
93.978335,19,21.784147
252.973145,52,21.907914
112.906515,23,21.962389
116.947809,25,22.018833
98.498146,20,22.061261
124.182915,25,22.11544
102.130286,21,22.160264
76.723569,16,22.195423
87.808871,18,22.235387
233.507491,46,22.340901
110.036291,23,22.391895
167.306807,33,22.464457
190.367953,38,22.544901
125.521824,25,22.596914
178.005644,35,22.678097
96.807334,20,22.723901
87.482129,18,22.764275
94.775668,19,22.80469
114.662809,23,22.854247
