# {"t_start": 1683526926.699192, "env_id": "Walker2d-v2"} 
r,l,t
-0.196906,10,1.49866
3.878424,21,1.55402
1.371073,17,1.598927
16.232069,27,1.669504
1.457213,12,1.700245
-6.244449,10,1.728852
-2.786239,15,1.769589
-4.419232,11,1.799597
-1.439447,16,1.841985
-1.73287,11,1.86904
-1.402912,19,1.917419
3.14952,28,1.988692
2.794206,29,2.06659
-1.294114,24,2.129855
-2.615329,19,2.183341
-9.021448,15,2.223756
-5.851861,11,2.253732
-0.218906,11,2.28622
0.170328,15,2.325672
0.817425,13,2.357813
-0.61652,9,2.38034
3.829051,20,2.430989
0.678941,17,2.472945
-2.561022,7,2.490853
0.827039,17,2.532751
1.129797,14,2.568324
-0.807167,11,2.597717
5.489422,17,2.644778
-5.536289,23,2.70327
3.117871,21,2.758121
0.949959,17,2.801174
-2.345047,10,2.824241
-5.582885,15,2.858862
2.597847,15,2.893879
-1.323848,10,2.919086
-0.859265,24,2.978327
1.894625,12,3.00719
-3.228078,11,3.033952
2.495583,15,3.069898
-0.308282,12,3.098817
3.188193,15,3.136863
2.438468,11,3.164786
-1.926441,10,3.188425
3.935151,17,3.229876
2.327134,12,3.258195
20.006968,30,3.332161
1.446623,14,3.365119
-3.486932,12,3.393992
-0.908385,12,3.422808
10.206035,26,3.495364
2.849472,27,3.585544
1.412646,19,3.650156
1.82673,12,3.692217
8.114887,30,3.787233
5.068549,23,3.852929
1.833473,14,3.890254
0.057792,15,3.930615
-3.798216,11,3.961232
-1.531042,10,3.988043
1.275848,17,4.034505
-9.444125,13,4.070553
0.651232,13,4.109875
-1.406338,9,4.135636
6.287744,16,4.177589
1.119241,11,4.206062
5.927676,31,4.28487
-5.760673,19,4.331528
2.665922,30,4.405292
-1.550461,9,4.429039
0.560568,11,4.461429
2.037986,15,4.499962
7.628562,22,4.558859
-0.890252,35,4.646361
-5.555369,10,4.672233
-8.164113,17,4.713405
1.454556,33,4.793132
-4.876742,25,4.853293
-1.260265,15,4.889783
-2.054774,12,4.918733
-1.705589,9,4.940646
2.57278,23,4.996573
-0.564927,13,5.028856
-4.418745,14,5.063725
-9.308832,22,5.115778
4.601895,23,5.171385
-4.006191,24,5.229945
2.744138,26,5.293873
6.369854,24,5.354113
-8.306953,15,5.39201
3.90176,20,5.443924
2.107901,20,5.499542
-3.346975,12,5.533264
