#{"t_start": 1667870134.975534, "env_id": "ElectricityMarket-v0"}
r,l,t
-26904.656103,24,1.329737
-27268.37223,24,1.348771
-27089.50739,24,1.368889
-27111.808422,24,1.388251
-27116.43904,24,1.407544
-27020.464437,24,1.426247
-27084.771839,24,1.445554
-27136.898093,24,1.464218
-27234.135972,24,1.482661
-27007.988328,24,1.500065
-27194.357443,24,1.519553
-27406.260908,24,1.538548
-26976.81134,24,1.557388
-27301.713675,24,1.576751
-26952.703966,24,1.593879
-27081.80415,24,1.611146
-26498.639026,24,1.628576
-27219.080018,24,1.645251
-26994.231005,24,1.66401
-26868.584472,24,1.720978
-26963.324475,24,1.738402
-26831.318111,24,1.755816
-27071.057429,24,1.771989
-26807.138224,24,1.78858
-27344.649605,24,1.804848
-27027.752662,24,1.822909
-27482.464579,24,1.839832
-26933.806847,24,1.857034
-27277.135938,24,1.874114
-27441.603977,24,1.891307
-27389.623162,24,1.908315
-27160.148407,24,1.927548
-27379.151412,24,1.944465
-27217.573244,24,1.96124
-27146.476567,24,1.977379
-27152.89165,24,1.9931
-26933.98298,24,2.00987
-27269.405225,24,2.026085
-27153.069513,24,2.042852
-26813.894397,24,2.058369
-26890.109334,24,2.074675
-27144.43574,24,2.091878
-27301.45073,24,2.534304
-27237.099634,24,2.554162
-27526.447662,24,2.573446
-26763.531721,24,2.591495
-26982.726813,24,2.608643
-26959.546445,24,2.628652
-26792.00539,24,2.647761
-26910.873438,24,2.665113
-27198.485097,24,2.684966
-26905.14291,24,2.702198
-27094.017579,24,2.719319
-27057.021542,24,2.736055
-26909.805458,24,2.752563
-26954.145212,24,2.769293
-27441.826048,24,2.786376
-26723.778463,24,2.802518
-27349.648932,24,2.819089
-27273.189549,24,2.836047
-27101.313048,24,2.852336
-27024.745513,24,2.86904
-27239.937676,24,2.88526
-27357.945968,24,2.901197
-27020.50845,24,2.916894
-27221.829745,24,2.934019
-27061.254687,24,2.953997
-27678.203087,24,2.970892
-27420.778717,24,2.987794
-27251.2787,24,3.004854
-27284.853031,24,3.02165
-27179.548422,24,3.037929
-27052.987966,24,3.053899
-27551.242953,24,3.074187
-27322.763319,24,3.091964
-26776.329658,24,3.108791
-27226.260778,24,3.125153
-27334.138171,24,3.14233
-27468.420259,24,3.158336
-26934.492627,24,3.175045
-26789.581963,24,3.193882
-27206.461376,24,3.211635
-26840.436493,24,3.228559
-26437.201132,24,3.24501
-27191.473393,24,3.261918
-27132.581298,24,3.350344
-27088.891353,24,3.37007
-27263.512806,24,3.389964
-27101.830927,24,3.40789
-27098.445062,24,3.425327
-27068.036025,24,3.442909
-26977.285167,24,3.462647
-26837.216246,24,3.480984
-27300.584335,24,3.501164
-26749.384595,24,3.540105
-26884.738985,24,3.557059
-27243.510221,24,3.572846
-26962.112224,24,3.589692
-26966.298485,24,3.60596
-26943.516454,24,3.622348
-27275.055312,24,3.637929
-27264.877602,24,3.654404
-27150.574436,24,3.671151
-27201.810097,24,3.687611
-26854.730633,24,3.706858
-27030.021472,24,3.725695
-27428.714176,24,3.742802
-27201.42426,24,3.759809
-27154.040755,24,3.775621
-27383.433185,24,3.791993
-27008.067706,24,3.808861
-27074.765566,24,3.824985
-27084.516962,24,3.840969
-27168.200545,24,3.857115
-27230.964183,24,3.874072
-27307.318132,24,3.889773
-27285.793536,24,3.906351
-27233.037618,24,3.922447
-27289.463858,24,3.939102
-27121.537837,24,3.955914
-26855.310501,24,3.975894
-27133.841145,24,3.992916
-26981.183125,24,4.00847
-27126.296547,24,4.024856
-26827.796033,24,4.041055
-26641.66458,24,4.056865
-26931.141389,24,4.07358
-27150.495146,24,4.09008
-27529.635139,24,4.180562
-27319.261507,24,4.200068
-27325.728124,24,4.219228
-27231.575187,24,4.236814
-27199.886083,24,4.253887
-27099.126091,24,4.270542
-26844.382069,24,4.287053
-27091.50796,24,4.306075
-27020.256164,24,4.326468
-26730.489721,24,4.344124
-27339.923692,24,4.361106
-27130.394667,24,4.37795
-26798.510107,24,4.395609
-27030.434243,24,4.412539
-27133.003703,24,4.428656
-27259.735099,24,4.445459
-27190.581234,24,4.462131
-27243.340178,24,4.482209
-27066.317525,24,4.498852
-26887.289214,24,4.515244
-27071.894886,24,4.531494
-27301.490522,24,4.54812
-27148.056606,24,4.56487
-27377.305499,24,4.581072
-27247.8525,24,4.597966
-27002.547494,24,4.614574
-27176.887332,24,4.631758
-26760.619697,24,4.649227
-26999.058542,24,4.666273
-27165.562509,24,4.682638
-27419.052262,24,4.699452
-27156.506291,24,4.715918
-27023.157311,24,4.736221
-27163.125548,24,4.753678
-27207.702575,24,4.77037
