#{"t_start": 1624257302.480829, "env_id": "ElectricityMarket-v0"}
r,l,t
-2820.918589,24,1.148199
-2650.653598,24,1.156452
-2642.281852,24,1.163772
-2656.622288,24,1.171747
-2746.271755,24,1.179164
-2749.081153,24,1.187049
-2708.361363,24,1.195782
-2666.635334,24,1.203824
-2695.919452,24,1.212271
-2715.142829,24,1.220351
-2773.495089,24,1.231234
-2655.834958,24,1.240101
-2719.306334,24,1.249395
-2701.358171,24,1.258017
-2691.377623,24,1.26748
-2709.365049,24,1.277455
-2707.974248,24,1.287949
-2784.903487,24,1.296544
-2627.355289,24,1.306691
-2747.338243,24,1.316115
-2759.536211,24,1.324636
-2768.088569,24,1.333265
-2669.450862,24,1.341694
-2547.234262,24,1.350207
-2782.208057,24,1.3585
-2807.702607,24,1.368659
-2749.20064,24,1.378014
-2715.600195,24,1.386618
-2696.388667,24,1.395088
-2772.612131,24,1.404296
-2585.12097,24,1.412938
-2702.103623,24,1.42128
-2618.496341,24,1.430093
-2758.327366,24,1.438424
-2686.309629,24,1.446791
-2727.695676,24,1.455268
-2737.571359,24,1.463698
-2629.260505,24,1.472178
-2618.808524,24,1.48042
-2614.545681,24,1.488764
-2767.017255,24,1.497128
-2755.540151,24,1.505508
-2846.745227,24,2.053593
-2748.407334,24,2.065488
-2761.437956,24,2.083529
-2794.850153,24,2.100705
-2675.823393,24,2.114798
-2748.448572,24,2.124419
-2772.446485,24,2.133535
-2767.254365,24,2.142431
-2852.833307,24,2.150774
-2822.456233,24,2.159189
-2788.408208,24,2.167568
-2727.920525,24,2.176104
-2720.670535,24,2.184531
-2800.971909,24,2.193198
-2756.472413,24,2.201864
-2806.012277,24,2.212791
-2785.158554,24,2.224329
-2551.785404,24,2.233792
-2820.774624,24,2.243047
-2780.036404,24,2.251634
-2731.300794,24,2.261255
-2820.472176,24,2.270074
-2796.115252,24,2.278646
-2724.1272,24,2.287056
-2713.05364,24,2.295381
-2770.393149,24,2.304749
-2674.131457,24,2.313984
-2793.323928,24,2.322687
-2730.180375,24,2.332484
-2706.591418,24,2.34172
-2776.730726,24,2.350687
-2728.754325,24,2.360273
-2686.392149,24,2.389575
-2616.960517,24,2.399592
-2654.04885,24,2.409026
-2747.789153,24,2.417701
-2819.613299,24,2.42751
-2796.216891,24,2.435818
-2664.173356,24,2.445063
-2756.812709,24,2.453331
-2794.572157,24,2.462234
-2683.369716,24,2.470615
-2789.484822,24,2.479413
-2705.44265,24,2.561212
-2673.96814,24,2.580582
-2779.677703,24,2.597282
-2673.633435,24,2.607059
-2644.422923,24,2.616277
-2736.02956,24,2.624492
-2656.357795,24,2.633289
-2828.942671,24,2.64217
-2664.352064,24,2.651051
-2646.987113,24,2.659313
-2813.371993,24,2.668021
-2775.641411,24,2.676379
-2622.939216,24,2.685009
-2823.881141,24,2.699816
-2755.687796,24,2.713558
-2715.966086,24,2.727033
-2560.365452,24,2.736196
-2740.162396,24,2.744697
-2750.979025,24,2.753007
-2647.384002,24,2.760902
-2678.411034,24,2.769626
-2778.276027,24,2.779529
-2743.905523,24,2.78941
-2775.082789,24,2.798618
-2685.308972,24,2.8065
-2720.605274,24,2.813859
-2687.692613,24,2.821125
-2645.01453,24,2.828316
-2729.788483,24,2.835479
-2696.76365,24,2.842666
-2590.274307,24,2.84982
-2647.07144,24,2.857032
-2788.186159,24,2.864257
-2710.849724,24,2.871457
-2647.271769,24,2.878782
-2782.213501,24,2.886116
-2759.600681,24,2.893412
-2781.086044,24,2.900757
-2822.182646,24,2.907951
-2755.138589,24,2.915246
-2757.668695,24,2.92252
-2741.65934,24,2.930079
-2721.077102,24,2.93756
-2687.085258,24,3.02043
-2759.677396,24,3.039951
-2713.42008,24,3.055447
-2724.858884,24,3.065088
-2687.512628,24,3.073671
-2713.521362,24,3.081997
-2712.46488,24,3.090138
-2737.66636,24,3.098319
-2618.025593,24,3.10619
-2762.761747,24,3.114255
-2705.819095,24,3.121651
-2711.310454,24,3.129165
-2814.571006,24,3.136942
-2725.780797,24,3.145849
-2642.720215,24,3.155636
-2670.939553,24,3.16911
-2624.193675,24,3.177386
-2696.967055,24,3.186486
-2733.375735,24,3.19458
-2601.620793,24,3.203037
-2747.918238,24,3.211173
-2782.100134,24,3.219045
-2729.412205,24,3.227
-2665.064455,24,3.234732
-2762.367158,24,3.242298
-2722.518538,24,3.251463
-2758.352915,24,3.259972
-2634.570588,24,3.269011
-2732.640849,24,3.279482
-2718.672574,24,3.289544
-2725.779421,24,3.298396
-2720.587381,24,3.307389
-2791.369106,24,3.316818
-2790.343546,24,3.32679
-2770.535553,24,3.336162
-2627.584353,24,3.346382
-2808.441182,24,3.355183
-2828.540609,24,3.364725
-2727.301875,24,3.373641
-2686.681145,24,3.382976
-2669.521562,24,3.392504
-2676.671514,24,3.402257
-2632.686102,24,3.515421
-2587.051139,24,3.54637
-2622.771418,24,3.576148
-2500.169036,24,3.592869
-2774.815215,24,3.605112
-2605.204612,24,3.616726
-2585.292136,24,3.63211
-2648.182928,24,3.65214
-2648.37277,24,3.662471
-2730.117405,24,3.672657
-2628.509483,24,3.683405
-2721.950938,24,3.692292
-2665.662582,24,3.700846
-2778.31433,24,3.709034
-2696.698005,24,3.717079
-2706.981636,24,3.724911
-2726.25434,24,3.733104
-2681.358634,24,3.740811
-2737.393476,24,3.748668
-2668.902738,24,3.756413
-2673.31601,24,3.764302
-2749.433337,24,3.771792
-2733.465784,24,3.778972
-2742.864641,24,3.786685
-2643.122681,24,3.793861
-2786.686886,24,3.801425
-2701.950225,24,3.808693
-2761.093439,24,3.816664
-2615.081025,24,3.823961
-2548.044178,24,3.831399
-2568.28746,24,3.83931
-2744.619121,24,3.846719
-2678.056346,24,3.85458
-2619.898031,24,3.861885
-2746.400524,24,3.86984
-2585.650246,24,3.87711
-2752.143962,24,3.885334
-2694.461572,24,3.892662
