# {"t_start": 1683533588.491329, "env_id": "Hopper-v2"} 
r,l,t
7.492759,13,1.003065
32.310426,34,1.046344
5.919989,9,1.056798
7.353682,18,1.077441
13.601483,15,1.094508
20.454852,20,1.117091
39.756559,34,1.154832
47.450696,43,1.203272
23.629027,29,1.23853
10.134112,32,1.276929
10.615157,13,1.294383
11.66698,16,1.31578
66.751193,53,1.380529
8.221533,12,1.396088
7.788723,14,1.412371
9.883265,11,1.425089
22.769138,19,1.447204
13.661095,15,1.464332
7.762084,20,1.487029
4.083068,12,1.501911
20.160221,19,1.524203
6.943475,15,1.541382
10.604642,12,1.554957
20.542349,23,1.58224
11.432908,16,1.600571
12.223958,21,1.626695
8.901462,30,1.664296
14.354847,28,1.700803
14.360671,16,1.722726
13.072048,16,1.743222
10.081937,16,1.762747
5.180153,10,1.775186
13.83462,18,1.795872
14.582915,23,1.821902
16.525092,21,1.847299
7.433352,10,1.858759
6.860999,11,1.871324
12.714393,23,1.89695
12.644728,21,1.920319
4.794883,8,1.929572
16.317174,17,1.948685
9.34298,14,1.964842
10.166851,13,1.97972
22.95509,20,2.004976
9.935974,24,2.034581
6.212332,21,2.059603
8.181573,10,2.072865
21.864879,34,2.114401
32.342421,25,2.144042
5.753311,11,2.156854
10.583128,19,2.178752
16.49721,25,2.206832
5.95748,10,2.395717
30.317474,27,2.426941
26.600671,31,2.465163
45.108583,34,2.502819
53.3435,39,2.548021
66.950176,49,2.606193
20.590218,31,2.644296
12.561715,14,2.660743
10.781039,12,2.674553
6.469178,9,2.685413
18.733123,43,2.737769
13.095583,17,2.758699
6.665209,15,2.776678
10.56143,21,2.800498
13.440501,16,2.820302
9.699503,15,2.838242
6.722197,12,2.852292
10.735583,13,2.867209
7.771431,13,2.88198
20.092607,19,2.903291
90.214858,55,2.963631
31.678945,27,2.995772
10.74953,16,3.013993
5.234475,10,3.025525
38.097068,62,3.098228
103.796609,60,3.175964
9.543062,13,3.191896
11.515862,20,3.216398
9.740733,15,3.254933
8.733338,12,3.269766
14.811049,19,3.291634
35.388949,32,3.330619
39.533437,40,3.375572
4.891727,8,3.385154
22.81532,28,3.416845
34.577635,29,3.451719
18.072324,21,3.475527
6.74547,10,3.48729
7.186013,11,3.504427
22.02537,19,3.527421
12.806923,17,3.549703
18.999829,26,3.58214
9.277366,12,3.597163
11.098898,19,3.619838
40.603897,30,3.720182
11.597467,13,3.737186
40.779636,53,3.800448
24.093018,24,3.828704
7.7649,12,3.843445
30.721635,32,3.879475
17.194403,16,3.90111
11.747654,17,3.921896
12.263021,14,3.939226
28.530138,31,3.974211
11.644581,26,4.00602
6.293745,9,4.016744
14.771176,14,4.032589
24.762535,23,4.058364
121.991973,70,4.138188
98.027748,58,4.203695
83.324813,50,4.261201
21.548446,31,4.296237
24.903153,25,4.32446
31.209155,37,4.367363
11.612363,13,4.38227
9.51482,24,4.410222
18.101863,20,4.432985
19.640626,21,4.456622
21.461408,20,4.479261
11.344592,12,4.493434
50.830584,39,4.537098
30.247985,30,4.57132
14.086819,17,4.591576
80.440498,50,4.648276
54.758797,38,4.690937
8.406762,11,4.703862
55.220853,42,4.750965
64.123341,46,4.802019
9.710014,13,4.816967
