# {"t_start": 1683703083.348782, "env_id": "Humanoid-v2"} 
r,l,t
157.211526,32,3.231994
218.397482,46,3.409637
158.887376,33,3.54181
121.737554,25,3.638713
159.459112,32,3.761818
152.860392,29,3.875124
111.597775,23,3.970646
76.642729,16,4.032387
88.038351,18,4.102161
76.702028,16,4.168461
86.552103,18,4.244969
81.22943,17,4.30903
97.860023,20,4.388421
87.59838,18,4.457367
138.800128,29,4.580294
86.172288,18,4.655864
126.941156,25,4.793759
111.666712,22,4.906495
91.439389,19,5.042334
103.810145,21,5.14163
85.795826,18,5.224024
76.310864,16,5.305002
86.857358,18,5.387749
91.416338,19,5.470369
96.061172,20,5.568236
92.96945,19,5.654395
81.209623,17,5.779223
71.676855,15,5.884548
99.451617,21,5.978726
87.04309,18,6.053139
92.305901,19,6.145781
81.213015,17,6.227844
114.011028,23,6.3219
86.638158,18,6.414964
92.180276,19,6.495044
123.079539,26,6.611559
111.66727,24,6.718774
88.160339,18,6.810642
101.913908,21,6.898147
76.48341,16,6.961766
151.506761,29,7.079045
87.685863,18,7.153911
81.003152,17,7.224113
76.786765,16,7.294222
81.240873,17,7.411779
111.946005,24,7.520806
107.472185,22,7.707009
194.163814,38,8.457352
76.338785,16,8.522481
209.078707,45,8.74497
123.752323,25,8.845032
86.912097,18,8.922266
103.51201,21,9.052559
76.45152,16,9.133129
104.2395,21,9.218543
96.126926,20,9.324948
124.895876,25,9.426517
144.848545,31,9.588217
76.683601,16,9.672062
136.816009,28,9.78772
76.537021,16,9.849083
86.217416,18,9.918565
129.376744,26,10.018133
81.955261,17,10.091769
76.494979,16,10.163715
117.747994,24,10.266635
126.691925,25,10.375705
81.848093,17,10.462992
81.320481,17,10.534106
158.882333,34,10.703137
87.275065,18,10.779847
81.460474,17,10.851079
81.445527,17,10.937212
80.02574,17,11.007524
81.303785,17,11.07208
108.396143,24,11.16685
84.008093,17,11.25362
109.022337,23,11.371135
104.651524,21,11.484993
88.147369,18,11.556269
99.556744,20,11.673837
90.989684,19,11.752596
179.847411,36,11.884794
121.66181,24,11.972726
106.566841,21,12.046937
81.474242,17,12.107999
81.506732,17,12.170067
174.73338,35,12.303849
76.668328,16,12.364101
76.601291,16,12.429561
105.403218,22,12.534037
136.332767,28,12.649814
76.509636,16,12.709757
123.075042,25,12.810519
109.588624,22,13.143558
92.439465,19,13.211447
127.515567,25,13.30228
151.978432,31,13.415722
87.219569,18,13.482204
95.555785,20,13.555246
81.29431,17,13.62079
81.697185,17,13.687812
109.757924,22,13.771495
87.782249,18,13.837424
115.98532,23,13.957032
104.215705,21,14.038101
129.629067,27,14.138734
81.356487,17,14.199284
176.542491,34,14.32426
91.973069,19,14.403042
91.810748,19,14.472512
170.611724,36,14.608444
108.082955,22,14.688955
152.883643,31,14.802054
104.401135,21,14.878062
76.233721,16,14.935877
87.308029,18,15.000517
94.420942,19,15.070001
116.996072,24,15.157661
87.858645,18,15.224283
215.731972,43,15.396221
129.891732,25,15.494801
91.133477,19,15.578416
81.559334,17,15.640564
76.314617,16,15.701895
144.8561,30,15.814565
110.842416,23,15.900511
81.155347,17,15.963217
98.02502,20,16.038533
76.690232,16,16.104441
175.815414,35,16.248554
97.741221,20,16.32632
175.737385,35,16.458313
71.854099,15,16.525288
201.510248,44,16.704357
86.056415,19,16.783942
81.442995,17,16.851015
86.705683,18,16.924678
81.276218,17,16.992477
190.512269,40,17.360015
81.136985,17,17.421564
102.783821,21,17.498184
86.834055,18,17.564022
167.153049,33,17.68837
97.214895,20,17.765685
76.534099,16,17.824802
97.731627,20,17.899623
106.311123,21,17.991134
98.950878,20,18.067635
140.788937,31,18.184427
81.591963,17,18.250581
81.219261,17,18.319095
76.784961,16,18.381037
124.308929,25,18.47777
137.500402,28,18.599388
81.294492,17,18.665001
91.293592,19,18.736703
93.278057,19,18.806837
76.648002,16,18.86554
92.381978,19,18.944732
98.747917,20,19.021664
144.719771,32,19.152417
158.915591,32,19.275275
86.975545,18,19.346581
183.698627,35,19.484786
141.94348,29,19.609207
81.256083,17,19.690638
81.283404,17,19.771506
104.204708,21,19.876213
104.32333,21,19.961868
115.932605,23,20.049017
209.831863,41,20.223955
76.375516,16,20.282042
149.672,29,20.390164
103.396841,21,20.466565
80.993725,17,20.526435
132.188588,27,20.625037
326.515349,66,20.897597
116.589935,26,20.991217
76.263432,16,21.048575
81.154499,17,21.10875
76.629032,16,21.166992
81.26233,17,21.22797
