#{"t_start": 1625701798.728781, "env_id": "ElectricityMarketDiscreteDQN-v0"}
r,l,t
-33.337752,24,0.700419
-757.5982,24,0.720108
-422.002506,24,0.738493
-607.56761,24,0.755489
-672.332408,24,0.770936
-748.36751,24,0.788253
-620.989641,24,0.80557
-654.570828,24,0.821019
-475.722064,24,0.841528
-289.977099,24,0.866151
-306.62634,24,0.885323
-128.030956,24,0.904946
-573.306774,24,0.923021
-251.866625,24,0.938875
-853.480917,24,0.953473
-227.296669,24,0.96915
-645.964241,24,0.984974
-341.869647,24,1.000198
-90.067881,24,1.015427
-639.519219,24,1.029333
-505.540558,24,1.04557
-498.751074,24,1.061006
-443.379583,24,1.075677
-462.679856,24,1.090731
-405.261625,24,1.105703
-250.334508,24,1.120468
-435.799338,24,1.135095
-415.348256,24,1.15248
-442.422947,24,1.170472
-740.571453,24,1.186165
-449.134044,24,1.203997
-659.060899,24,1.221866
-656.640444,24,1.239462
-541.189633,24,1.257045
-646.008449,24,1.274181
-475.432661,24,1.292756
-619.193738,24,1.318569
-704.780587,24,1.339203
-719.718144,24,1.356597
-380.772124,24,1.373275
-330.252314,24,1.389504
-251.626202,24,1.407913
-408.909532,24,1.423275
-754.024639,24,1.438145
-384.650742,24,1.452477
-390.677275,24,1.466826
-641.228022,24,1.482059
-270.259696,24,1.497579
-813.627897,24,1.51289
-393.672019,24,1.527716
-625.488809,24,1.54459
-758.775483,24,1.560045
-575.814877,24,1.575177
-393.304288,24,1.59398
-275.948797,24,1.608937
-350.226294,24,1.625031
-494.015733,24,1.640169
-403.961522,24,1.655375
-492.674625,24,1.6702
-739.688255,24,1.683924
-535.870883,24,1.699412
-578.180039,24,1.714141
-459.09426,24,1.730745
-587.470599,24,1.745671
-748.748187,24,1.759746
-572.942981,24,1.774962
-385.67045,24,1.790077
-459.15066,24,1.804396
-500.9712,24,1.818419
-294.096053,24,1.831382
-303.211372,24,1.845314
-252.795403,24,1.859553
-496.332735,24,1.873712
-347.735961,24,1.887445
-512.193619,24,1.900825
-480.800462,24,1.915901
-530.202108,24,1.930385
-445.187831,24,1.944604
-633.665847,24,1.958976
-507.461742,24,1.972802
-307.427606,24,1.987357
-395.848244,24,2.002005
-590.606639,24,2.016868
-485.634725,24,2.034887
-655.317467,24,2.061774
-757.968424,24,2.085394
-410.779691,24,2.10149
-732.047458,24,2.129159
-594.840536,24,2.147429
-225.771126,24,2.165799
-770.563311,24,2.183323
-503.908522,24,2.199331
-560.593022,24,2.213971
-545.761917,24,2.229252
-533.378678,24,2.243781
-714.187769,24,2.259574
-175.298833,24,2.274981
-821.705144,24,2.289356
-645.048239,24,2.30485
-424.496311,24,2.317974
-525.635762,24,2.33374
-607.540772,24,2.348671
-504.078069,24,2.364024
-440.035111,24,2.378532
-682.566903,24,2.393149
-670.983417,24,2.408694
-612.772767,24,2.424403
-535.660754,24,2.438764
-520.365117,24,2.454959
-606.355669,24,2.468437
-260.416639,24,2.484228
-693.123477,24,2.498829
-293.216425,24,2.514454
-652.200608,24,2.544949
-293.524542,24,2.580504
-70.218631,24,2.609593
-287.421994,24,2.658646
-714.849458,24,2.688918
-390.749411,24,2.708282
-397.891428,24,2.724241
-312.513689,24,2.744502
-265.237067,24,2.780659
-413.944619,24,2.825379
-388.404164,24,2.855749
-350.333731,24,2.88157
