#{"t_start": 1624168719.730736, "env_id": "ElectricityMarketDiscreteDQN-v0"}
r,l,t
-643.097686,24,0.535277
-543.062193,24,0.542842
-636.613665,24,0.55019
-724.471185,24,0.557632
-270.175936,24,0.56527
-753.476656,24,0.764977
-614.237063,24,0.778234
-670.909825,24,0.788571
-336.532869,24,0.79872
-518.866753,24,0.807073
-142.096234,24,0.857236
-663.8357,24,0.871701
-607.781172,24,0.88397
-285.545501,24,0.892219
-441.545916,24,0.900142
-519.819347,24,0.908194
-467.981952,24,0.958914
-337.439655,24,0.970673
-553.582597,24,0.978872
-876.178622,24,0.987221
-614.155817,24,0.99497
-677.860233,24,1.052179
-371.039385,24,1.062942
-493.496321,24,1.073805
-774.042336,24,1.104092
-686.883039,24,1.11394
-160.034657,24,1.163
-664.943009,24,1.176326
-625.526483,24,1.185655
-597.696367,24,1.194719
-780.575607,24,1.204344
-492.360033,24,1.212768
-206.057466,24,1.272377
-747.048994,24,1.282647
-607.762822,24,1.290717
-398.053858,24,1.299097
-258.950253,24,1.308492
-637.794397,24,1.358435
-596.560319,24,1.369968
-559.026453,24,1.379441
-480.668808,24,1.388576
-415.686233,24,1.397597
-462.127386,24,1.449179
16.313517,24,1.460235
-574.89323,24,1.470917
-735.760019,24,1.480772
-505.285117,24,1.490504
-344.181647,24,1.499783
-233.347122,24,1.553615
-579.143051,24,1.563869
-349.707563,24,1.572558
-513.286483,24,1.581786
-105.264655,24,1.591049
-569.025931,24,1.652757
-115.662591,24,1.664129
-532.814428,24,1.676001
-354.342735,24,1.684522
-251.988518,24,1.69438
-592.399094,24,1.751133
-719.673739,24,1.762172
-142.205639,24,1.7722
-797.032919,24,1.781997
-719.033814,24,1.790592
-172.740354,24,1.799134
-663.958792,24,1.859614
-506.261148,24,1.870378
-357.35363,24,1.879819
-311.074483,24,1.888272
-470.404612,24,1.896628
-192.38915,24,1.948569
-694.323569,24,1.96006
-751.781444,24,1.968025
-518.015667,24,1.976332
41.773306,24,1.984567
-594.299492,24,2.033841
-511.44106,24,2.044382
-526.354577,24,2.054333
-538.382933,24,2.062768
-841.615966,24,2.07088
-553.441307,24,2.079595
-397.859322,24,2.136319
-91.006842,24,2.146785
-358.201344,24,2.155098
-668.098138,24,2.163542
-559.903133,24,2.172349
-411.971741,24,2.229588
-318.967291,24,2.24034
-228.831966,24,2.248621
-235.3388,24,2.257863
-740.198569,24,2.266334
-795.371574,24,2.316009
-332.147747,24,2.327866
-713.142966,24,2.338274
-377.412591,24,2.347278
-782.576302,24,2.355268
-530.888572,24,2.363531
-532.530814,24,2.421786
-849.452278,24,2.43205
-826.308958,24,2.442532
-472.879215,24,2.450979
-368.512487,24,2.458943
-318.916922,24,2.515999
-586.944486,24,2.526801
-668.930112,24,2.535579
-397.782161,24,2.544374
-334.882233,24,2.553663
-584.819975,24,2.623706
-768.547291,24,2.633879
-138.571251,24,2.64295
-412.266944,24,2.651643
-325.374966,24,2.660958
-639.733161,24,2.669675
-629.666174,24,2.724465
-610.013342,24,2.734262
-256.647977,24,2.742694
-514.559822,24,2.751676
-344.317669,24,2.760285
-233.358113,24,2.810532
-458.784064,24,2.822192
-180.349199,24,2.830563
-571.122683,24,2.839376
-606.646752,24,2.847999
-851.029741,24,2.897522
-270.224949,24,2.909531
-758.77231,24,2.918426
-304.536949,24,2.92745
-530.646278,24,2.938249
-477.03256,24,2.946758
-394.09489,24,3.000302
-728.646333,24,3.01068
-418.098022,24,3.019234
-923.908298,24,3.027897
-290.331537,24,3.037813
-473.692541,24,3.09963
-558.735897,24,3.109983
-303.608426,24,3.119934
-378.713874,24,3.128764
-527.432294,24,3.13811
-184.856024,24,3.194723
-55.696355,24,3.204958
-621.131674,24,3.214026
-283.938113,24,3.222321
-389.347605,24,3.230747
-799.909803,24,3.239104
-685.633067,24,3.292688
-570.460472,24,3.302754
-338.865908,24,3.311578
-352.218819,24,3.321345
-732.050883,24,3.330389
-253.903153,24,3.381545
-700.22834,24,3.392824
-360.023224,24,3.401267
-562.048063,24,3.409543
-470.840566,24,3.417544
-204.590467,24,3.466683
-522.558422,24,3.478332
-321.741377,24,3.488199
-274.102051,24,3.496668
-648.456594,24,3.50491
-112.508929,24,3.512861
-363.31165,24,3.56411
-491.989872,24,3.574277
-340.285574,24,3.582398
-395.53055,24,3.590404
-143.197927,24,3.598464
-490.916841,24,3.647085
-627.216311,24,3.658286
-467.164126,24,3.667757
-379.110038,24,3.675934
-553.62716,24,3.683987
-786.125012,24,3.731983
-516.143781,24,3.742789
-248.8614,24,3.751874
-595.651093,24,3.759779
-919.298229,24,3.767103
-435.205703,24,3.774408
-712.410802,24,3.824109
-430.634792,24,3.834729
-302.375541,24,3.844063
-521.099462,24,3.852327
-427.153506,24,3.860612
-303.987774,24,3.91317
-507.277462,24,3.923325
-607.936083,24,3.93236
-637.546483,24,3.941079
-691.910325,24,3.950171
-561.838141,24,4.009835
-460.344415,24,4.021475
-574.608111,24,4.030181
-717.674404,24,4.038513
-539.020588,24,4.047262
-236.438319,24,4.055674
-261.456977,24,4.1105
-295.426464,24,4.120148
-360.903072,24,4.129345
-264.986644,24,4.137704
-415.792286,24,4.146347
-466.090019,24,4.200327
-446.976436,24,4.210118
-301.532858,24,4.218579
-341.9571,24,4.227223
-387.543842,24,4.235796
-705.390841,24,4.286233
-231.337635,24,4.297219
-382.983814,24,4.306837
-575.071489,24,4.315108
-363.243366,24,4.323322
-191.455492,24,4.332668
