#{"t_start": 1618118420.6962361, "env_id": "ElectricityMarketDiscreteDQN-v0"}
r,l,t
-439.713925,24,1.183137
-534.589838,24,1.193795
-619.754648,24,1.204578
-501.715744,24,1.215447
-686.842706,24,1.227617
-329.851516,24,1.238928
-409.296553,24,1.250789
-665.242119,24,1.262745
-326.536335,24,1.273574
-428.961369,24,1.284956
-578.930915,24,1.296384
-560.310744,24,1.308709
-303.710826,24,1.319968
-535.994539,24,1.331181
-309.324081,24,1.34282
-669.211164,24,1.353871
-557.020228,24,1.364848
-331.399197,24,1.376139
-604.473405,24,1.386746
-326.530595,24,1.398258
-750.444095,24,1.4097
-315.61238,24,1.420438
-269.925164,24,1.431992
-852.646594,24,1.443485
-221.586667,24,1.454171
-281.747628,24,1.470291
-459.243814,24,1.482932
-502.512373,24,1.499324
-569.292247,24,1.520708
-803.717378,24,1.542202
-645.840039,24,1.556098
-513.200397,24,1.576188
-654.050402,24,1.603265
-369.627578,24,1.627573
-402.532658,24,1.639306
-261.908078,24,1.650844
-236.199967,24,1.662403
-598.958875,24,1.673589
-573.868136,24,1.684535
-683.853631,24,1.69573
-337.708335,24,1.705715
-704.126911,24,1.894294
-308.777169,24,1.948827
-529.424097,24,2.013184
-719.841381,24,2.077373
-618.103644,24,2.157012
-518.042119,24,2.234789
-474.066405,24,2.301943
-518.501956,24,2.357667
-404.273831,24,2.407864
-320.956044,24,2.459109
-474.292031,24,2.509257
-416.485892,24,2.561718
-392.686497,24,2.610954
-359.222386,24,2.661553
-99.735372,24,2.71006
-258.690444,24,2.759393
-591.486856,24,2.809217
-494.609305,24,2.859721
-185.818269,24,2.908411
-232.597414,24,2.958223
-554.896474,24,3.007005
-784.212419,24,3.057208
-579.622091,24,3.107937
-582.702288,24,3.163736
-481.620722,24,3.219306
-139.760422,24,3.280643
-819.671125,24,3.369485
-135.427197,24,3.425635
-494.43475,24,3.489892
-262.406508,24,3.557077
-520.714873,24,3.611479
-133.592924,24,3.686858
-683.56463,24,3.767124
-387.895592,24,3.854349
-169.987114,24,3.933737
-317.278374,24,3.997088
-146.590331,24,4.058235
-823.191415,24,4.111495
-728.329025,24,4.176977
-160.982122,24,4.264043
-367.433444,24,4.336529
-608.553119,24,4.40522
-605.916839,24,4.460615
-825.256789,24,4.51494
-373.727056,24,4.566734
-284.612714,24,4.625108
-1050.355808,24,4.688009
-357.110514,24,4.746706
-295.581533,24,4.799819
-482.169049,24,4.849547
-701.563997,24,4.895239
-646.268614,24,4.942545
-474.000039,24,4.988112
-285.810997,24,5.033717
-459.057406,24,5.081013
-47.014699,24,5.127814
-778.266047,24,5.17365
-264.404611,24,5.223722
-357.43714,24,5.27835
-623.614731,24,5.330837
-398.673383,24,5.376679
-738.749092,24,5.422738
-750.730003,24,5.474576
-479.41241,24,5.522542
-375.511453,24,5.570523
-298.847774,24,5.61616
-181.19193,24,5.661561
-644.082049,24,5.707223
-516.764759,24,5.754668
-332.212022,24,5.802244
-104.844081,24,5.873671
-51.511787,24,5.920423
-448.957258,24,5.96745
-413.822042,24,6.018383
-339.588935,24,6.06448
-567.120722,24,6.113774
-391.493534,24,6.160406
-302.998217,24,6.20672
-299.557028,24,6.252571
-472.694169,24,6.324173
-518.992253,24,6.382815
-769.669035,24,6.436978
-32.863655,24,6.489583
-536.577451,24,6.542323
-252.522589,24,6.591611
-290.225003,24,6.641384
-351.916515,24,6.700466
-607.040852,24,6.759803
-9.885036,24,6.81452
-712.983942,24,6.867786
-369.838292,24,6.918195
-497.380533,24,6.968429
-162.226433,24,7.02053
-564.755592,24,7.073535
-355.520531,24,7.14122
-162.776203,24,7.207748
-254.116969,24,7.261272
-337.083461,24,7.309314
-274.618872,24,7.354751
-532.411872,24,7.4
-735.320858,24,7.445747
-179.346092,24,7.493132
-492.176678,24,7.54168
-614.005969,24,7.593746
-436.261252,24,7.642776
-471.969772,24,7.688015
-662.147417,24,7.733523
-406.384297,24,7.780008
-320.592502,24,7.828562
-273.285486,24,7.877412
-260.962853,24,7.924038
-321.926142,24,7.973234
-439.3793,24,8.021506
-533.983592,24,8.067446
-245.698344,24,8.11309
-204.975719,24,8.160171
-231.196872,24,8.208437
-124.289522,24,8.308412
-171.892131,24,8.366915
-183.904303,24,8.422602
-432.669247,24,8.499775
