#{"t_start": 1624153114.949889, "env_id": "ElectricityMarketDiscreteDQN-v0"}
r,l,t
-352.749837,24,1.03761
-253.863944,24,1.04894
-642.785269,24,1.059351
-121.547866,24,1.069428
-514.278503,24,1.078472
-600.516113,24,1.088053
-633.508897,24,1.097039
-535.842997,24,1.106686
-501.251431,24,1.115663
-469.060049,24,1.125367
-529.592661,24,1.13452
-282.953428,24,1.14405
-361.207658,24,1.153652
-503.870108,24,1.162543
-532.245815,24,1.17187
-347.104933,24,1.181192
-531.81189,24,1.192288
-368.77281,24,1.201109
-502.869567,24,1.210442
-575.779141,24,1.219854
-413.36443,24,1.23021
-350.160769,24,1.239409
-521.416337,24,1.248857
-362.790189,24,1.258121
-336.800108,24,1.267299
-400.959092,24,1.276657
-628.671313,24,1.286055
-357.897844,24,1.294986
-385.406138,24,1.304273
-295.237067,24,1.312992
-438.228214,24,1.322052
-377.937913,24,1.331109
-759.541493,24,1.340685
-238.079651,24,1.349687
-382.729556,24,1.359142
-660.971533,24,1.367717
-482.414669,24,1.376361
-362.195255,24,1.38471
-288.916302,24,1.392659
-908.513994,24,1.400997
-549.213383,24,1.409505
-566.861437,24,1.417899
-398.890002,24,1.971211
-503.686508,24,1.982125
-568.675873,24,1.992179
-314.481401,24,2.002631
-477.730205,24,2.012751
-199.97858,24,2.02183
-19.550467,24,2.031978
-226.626612,24,2.041721
-330.307559,24,2.051281
-800.980783,24,2.05977
-805.250428,24,2.068493
-371.374633,24,2.076907
-439.826403,24,2.085449
-586.627817,24,2.095362
-432.406508,24,2.106478
-297.794802,24,2.11649
-509.924787,24,2.12477
-596.103317,24,2.133494
-462.301222,24,2.141655
-334.306645,24,2.14966
-485.980792,24,2.158264
-754.903998,24,2.166717
-457.435352,24,2.175309
-1062.455067,24,2.183926
-362.360167,24,2.192806
-558.678202,24,2.2016
-831.918487,24,2.210052
-268.662783,24,2.218292
-214.366397,24,2.226389
-244.371474,24,2.234389
-612.176688,24,2.24197
-546.40693,24,2.249343
-318.385332,24,2.256702
-497.439508,24,2.264075
-278.079084,24,2.271486
-580.150491,24,2.278863
-453.582228,24,2.286225
-491.872038,24,2.293643
-377.810931,24,2.30115
-558.291803,24,2.308578
-421.18035,24,2.315934
-661.72604,24,2.323307
-507.586191,24,2.330672
-406.560866,24,2.574132
-193.148828,24,2.591285
-590.889357,24,2.600985
-345.587408,24,2.609423
-912.504877,24,2.619275
-366.934347,24,2.627899
-829.821528,24,2.63728
-376.881671,24,2.646068
-747.589239,24,2.655808
-616.133294,24,2.664869
-538.404466,24,2.675161
-872.055685,24,2.685691
-408.898871,24,2.694303
-410.363988,24,2.704611
-111.730885,24,2.713671
-723.875211,24,2.723622
-403.05791,24,2.733192
-410.493494,24,2.742517
-569.786305,24,2.752965
-794.45095,24,2.763142
-318.738221,24,2.772667
-231.783033,24,2.78178
-672.695149,24,2.790984
-324.411309,24,2.799869
-879.252307,24,2.809455
-448.11477,24,2.818108
-557.109351,24,2.826917
-438.32861,24,2.836616
-559.791908,24,2.844848
-665.734705,24,2.853262
-794.072699,24,2.861369
-497.010155,24,2.869323
-542.790928,24,2.877567
-670.455019,24,2.885171
-356.294672,24,2.892792
-640.674981,24,2.900436
-342.245483,24,2.908212
-544.867322,24,2.915795
-306.309022,24,2.923328
-453.815888,24,2.930945
-457.054911,24,2.938922
-570.819283,24,2.947575
-309.108773,24,2.956021
-279.067449,24,3.201771
-408.547869,24,3.2135
-222.527415,24,3.224242
-519.976444,24,3.234165
-709.037949,24,3.242954
-301.174076,24,3.25142
-124.222589,24,3.259539
-266.703526,24,3.268639
-305.942056,24,3.27737
-692.642326,24,3.28653
-662.904323,24,3.294454
-354.623401,24,3.302397
-480.241089,24,3.310255
-600.313203,24,3.317778
-607.465173,24,3.32519
-305.364765,24,3.332545
-588.234206,24,3.339985
-704.776958,24,3.347433
-265.80235,24,3.355805
-636.28345,24,3.365889
-395.756072,24,3.375939
-691.619613,24,3.384398
-480.409517,24,3.392644
-233.550461,24,3.40078
-467.217711,24,3.408725
-438.854016,24,3.416667
-344.161997,24,3.42466
-820.983966,24,3.432599
-344.157747,24,3.440656
-508.213349,24,3.449004
-687.284123,24,3.4573
-525.522342,24,3.465389
-840.004658,24,3.475536
-347.991114,24,3.484317
-448.187319,24,3.492947
-756.837352,24,3.502268
-768.156232,24,3.512881
-466.15595,24,3.522248
-529.468235,24,3.531419
-420.318283,24,3.541425
-613.71423,24,3.550971
-1008.496277,24,3.561071
-465.295912,24,3.813694
-216.138369,24,3.824847
-509.61476,24,3.836446
-392.119118,24,3.845903
-446.580818,24,3.855726
-293.7972,24,3.864251
-599.054549,24,3.872779
-302.515502,24,3.880915
-263.571838,24,3.888692
-928.112947,24,3.896395
-439.047765,24,3.904081
-654.038903,24,3.912272
-617.588797,24,3.920328
-624.653524,24,3.928245
-561.498472,24,3.935806
-329.804844,24,3.94334
-532.957493,24,3.951028
-573.777633,24,3.958623
-1033.61946,24,3.966158
-414.499126,24,3.97372
-230.411406,24,3.982985
-350.47038,24,3.993539
-538.562008,24,4.00336
-326.391314,24,4.012388
-288.913158,24,4.020615
-432.265692,24,4.02872
-405.888634,24,4.036265
-495.036292,24,4.043909
-204.600617,24,4.051811
-731.530235,24,4.060159
-245.219256,24,4.068587
-409.187039,24,4.077575
-315.456351,24,4.086016
-260.728064,24,4.094532
-261.275245,24,4.102992
-316.166524,24,4.111591
-84.093872,24,4.119677
-476.594678,24,4.127453
-319.404164,24,4.13513
-477.927744,24,4.142491
-244.932035,24,4.149853
-568.799867,24,4.157347
-406.59094,24,4.164877
-333.973449,24,4.405794
-490.896536,24,4.415243
-742.408176,24,4.425349
-488.495441,24,4.434701
-135.515113,24,4.443276
142.222031,24,4.451645
-176.980221,24,4.459696
-481.685149,24,4.467764
-251.648166,24,4.475691
-357.163906,24,4.484154
-256.805174,24,4.492878
-341.765636,24,4.501426
-607.143916,24,4.510005
-230.489299,24,4.519002
-652.772228,24,4.5282
-372.045122,24,4.538577
-621.805512,24,4.547688
-382.750108,24,4.55738
-945.432642,24,4.567911
-306.231505,24,4.578102
-503.162491,24,4.587992
-394.851111,24,4.598474
-630.074377,24,4.608588
-592.244622,24,4.617479
-335.824719,24,4.626849
-508.255297,24,4.636089
-655.772037,24,4.645874
-481.542924,24,4.65443
-515.771694,24,4.663798
-518.667335,24,4.672255
-499.05595,24,4.681594
-378.640854,24,4.69008
-541.756126,24,4.698683
-551.654049,24,4.706897
-706.566328,24,4.71565
-263.606791,24,4.723848
-270.184094,24,4.732378
-191.539143,24,4.741006
-360.96221,24,4.749109
-170.884538,24,4.756925
-418.082972,24,4.764845
-548.835088,24,4.77289
-559.236256,24,4.781047
-562.28511,24,5.01779
-303.932697,24,5.028905
-545.925543,24,5.038607
-341.076003,24,5.04797
-525.430311,24,5.056243
-606.049862,24,5.064967
-509.146161,24,5.073247
-659.170353,24,5.080814
-471.052999,24,5.088159
-532.908083,24,5.095722
-609.078914,24,5.10319
-701.457244,24,5.110576
-454.037342,24,5.118463
-339.403242,24,5.125831
-329.854053,24,5.133279
-406.904752,24,5.140726
-208.660432,24,5.14814
-284.963174,24,5.155957
-567.423912,24,5.165896
-271.726297,24,5.174999
-675.988349,24,5.185756
-317.128663,24,5.196869
-574.224302,24,5.20633
-178.425341,24,5.215712
-201.183996,24,5.22482
-331.061016,24,5.235336
-612.693969,24,5.244086
-874.415957,24,5.25379
-576.483408,24,5.263201
-157.447055,24,5.272985
-312.660327,24,5.283073
-359.220502,24,5.292203
-469.174349,24,5.301643
-593.794922,24,5.31007
-427.385994,24,5.319821
-527.224628,24,5.32852
-350.452354,24,5.338838
-736.967944,24,5.348196
-338.647509,24,5.357469
-429.454761,24,5.366312
-528.731831,24,5.375301
-556.531863,24,5.386094
-220.45239,24,5.62841
-236.712451,24,5.641342
-267.306987,24,5.654694
-292.472614,24,5.664731
-366.661633,24,5.674511
-313.56107,24,5.6838
-291.333358,24,5.693274
-418.16113,24,5.702823
-289.870722,24,5.713115
-684.857499,24,5.722855
-685.409553,24,5.736165
-544.823133,24,5.745445
-223.765633,24,5.754508
-703.381261,24,5.765107
-417.847922,24,5.774938
-290.473239,24,5.790321
-385.35885,24,5.802987
-437.673485,24,5.813544
-138.211805,24,5.822656
-669.28346,24,5.831669
-387.978408,24,5.840789
-632.624765,24,5.849283
-491.047313,24,5.85727
-94.116628,24,5.865295
-766.655349,24,5.873323
-217.392909,24,5.881925
-389.566008,24,5.890193
-690.492835,24,5.898225
-268.767536,24,5.906269
-90.559512,24,5.914263
-754.181106,24,5.922312
-306.429077,24,5.930319
-498.722358,24,5.938314
-284.738099,24,5.946268
-255.653671,24,5.954218
-290.988697,24,5.962164
-224.416569,24,5.97013
-631.994822,24,5.978069
-302.803492,24,5.986124
-351.530733,24,5.994105
-350.195342,24,6.002091
-420.348224,24,6.010043
-484.40362,24,6.019792
-440.10555,24,6.272381
-393.432823,24,6.285166
-462.366426,24,6.296321
-319.992233,24,6.307294
-411.136313,24,6.316986
-562.577703,24,6.326172
-294.433336,24,6.334418
-358.877613,24,6.342412
-194.354612,24,6.350605
-389.987256,24,6.35869
-403.917283,24,6.368051
-380.348369,24,6.377624
-412.434148,24,6.386119
-340.360573,24,6.395751
-345.713069,24,6.404699
-222.240205,24,6.414058
-685.797506,24,6.42336
-398.527275,24,6.433823
-296.039047,24,6.445382
-484.780098,24,6.455095
-350.79645,24,6.464697
-851.024055,24,6.476668
-438.513692,24,6.486304
-252.001169,24,6.495088
-604.582105,24,6.503658
-600.553992,24,6.512429
-301.043987,24,6.520869
-438.447431,24,6.530001
-642.856772,24,6.538445
-180.262853,24,6.546505
-122.119019,24,6.554455
-486.467644,24,6.562448
-172.319488,24,6.570387
-389.944344,24,6.578309
-668.743131,24,6.586232
-587.482472,24,6.594417
-171.326125,24,6.602431
-534.150197,24,6.610412
-801.390731,24,6.61835
-845.116972,24,6.626277
-369.796555,24,6.634234
-53.406091,24,6.642254
-408.62404,24,6.650468
-585.809958,24,6.889756
-579.732791,24,6.899433
-531.555383,24,6.909265
-374.862893,24,6.918901
-285.569122,24,6.928454
-355.530922,24,6.937525
-221.462379,24,6.946783
-234.496297,24,6.95585
-597.472363,24,6.964554
-276.073644,24,6.973189
-374.908395,24,6.981976
-327.327602,24,6.990406
-245.820178,24,6.998708
-409.360364,24,7.006856
-60.671117,24,7.01517
-423.216203,24,7.023597
-474.806546,24,7.031778
-231.925761,24,7.04052
-421.927063,24,7.049969
-328.561122,24,7.061018
-236.139125,24,7.069178
-93.757133,24,7.079198
-275.588983,24,7.088633
-421.124563,24,7.097355
-191.794197,24,7.105946
-514.950069,24,7.114241
-726.033635,24,7.12235
-77.22481,24,7.130452
-462.869294,24,7.138571
-373.365367,24,7.146759
-604.667022,24,7.154768
-367.092157,24,7.162788
-652.850848,24,7.170683
-503.008702,24,7.178651
-280.720628,24,7.1869
-430.814888,24,7.197133
-550.017664,24,7.208111
-536.140139,24,7.217374
-496.789974,24,7.225733
