#{"t_start": 1616739532.8550441, "env_id": "ElectricityMarket-v0"}
r,l,t
105.303748,24,0.516368
109.152853,24,0.524022
140.172785,24,0.532371
112.629584,24,0.540552
132.105082,24,0.549086
89.654988,24,0.557555
105.066463,24,0.566115
79.767323,24,0.574626
186.304117,24,0.824255
246.688297,24,0.831538
257.789004,24,0.838889
200.898876,24,0.846781
483.232619,24,1.03003
567.757753,24,1.073047
540.872278,24,1.108182
529.067877,24,1.137867
459.756307,24,1.351568
389.164169,24,1.364357
327.288199,24,1.37997
326.808815,24,1.394166
338.44752,24,1.556348
563.035157,24,1.566187
561.446153,24,1.579697
567.21269,24,1.591928
541.646146,24,1.603121
793.023416,24,1.703904
781.246767,24,1.711208
786.126548,24,1.718487
781.590869,24,1.725769
785.369591,24,1.819297
784.191405,24,1.827103
754.210173,24,1.836352
764.008896,24,1.844968
786.426105,24,1.955251
775.238978,24,1.963567
772.3973,24,1.971685
771.241339,24,1.980628
780.12819,24,2.089156
768.536415,24,2.100061
780.228788,24,2.109748
762.427902,24,2.120496
782.061653,24,2.264988
772.758953,24,2.277072
779.979306,24,2.287714
797.61224,24,2.29886
755.542156,24,2.418536
788.6053,24,2.425895
766.959343,24,2.433394
785.626807,24,2.440892
772.000953,24,2.448189
780.385872,24,2.549473
785.410545,24,2.557643
774.303993,24,2.566437
792.413854,24,2.575324
766.177155,24,2.687929
764.686,24,2.695544
783.169285,24,2.702857
771.45879,24,2.710156
764.933364,24,2.810609
775.862053,24,2.818408
773.402268,24,2.830548
781.669966,24,2.840657
777.579776,24,2.988251
786.988926,24,2.998722
800.199666,24,3.008683
775.879561,24,3.019126
767.799072,24,3.143981
778.92489,24,3.151382
783.851609,24,3.158836
784.136124,24,3.166221
758.3147,24,3.263624
796.965081,24,3.271177
773.832049,24,3.278473
771.483225,24,3.285952
774.183901,24,3.293264
769.556106,24,3.392685
778.910525,24,3.401404
782.969983,24,3.410368
756.161401,24,3.422065
779.756686,24,3.527889
792.703415,24,3.535664
792.759122,24,3.543375
766.349328,24,3.551141
773.062395,24,3.652078
780.694588,24,3.659875
772.515579,24,3.66771
758.010591,24,3.675472
782.799982,24,3.776847
766.698291,24,3.784873
757.649511,24,3.793015
755.207462,24,3.800895
772.332192,24,3.920061
765.608736,24,3.929246
779.890045,24,3.937564
778.332482,24,3.946513
798.365902,24,4.074573
771.377111,24,4.082205
