#{"t_start": 1620585861.411993, "env_id": "ElectricityMarketDiscreteDQN-v0"}
r,l,t
-428.001656,24,0.627252
-577.431519,24,0.637418
-650.031339,24,0.647362
-817.947369,24,0.657186
-297.001362,24,0.666659
-419.328981,24,0.675493
-639.504435,24,0.684198
-466.863847,24,0.692956
-408.737698,24,0.701654
-801.215253,24,0.710455
-653.911741,24,0.719049
-492.785528,24,0.727711
-588.955028,24,0.736361
-392.14015,24,0.74522
-746.817712,24,0.753961
-643.136258,24,0.76267
-533.903762,24,0.771502
-540.1772,24,0.780297
-695.546567,24,0.789118
-588.932275,24,0.797849
-936.628147,24,0.806639
-701.483545,24,0.815361
-457.965851,24,0.824154
-481.220613,24,0.832843
-523.530125,24,0.841928
-739.348409,24,0.851043
-498.12111,24,0.859985
-425.265992,24,0.868981
-310.278052,24,0.877936
-400.513928,24,0.887105
-532.551315,24,0.89602
-425.530692,24,0.904967
-390.273647,24,0.913936
-397.412392,24,0.922727
-423.870516,24,0.931653
-269.448306,24,0.940476
-373.23794,24,0.949175
-575.123692,24,0.957904
-643.153924,24,0.967634
-942.198603,24,0.977051
-497.535217,24,0.98627
-243.879228,24,1.160193
-568.536356,24,1.203655
-598.773745,24,1.250081
-297.706283,24,1.293656
-180.942542,24,1.338154
-965.477242,24,1.381132
-357.96713,24,1.42493
-273.470322,24,1.469456
-171.74229,24,1.512506
-162.441662,24,1.554312
-517.593042,24,1.596049
-347.41559,24,1.63908
-272.848335,24,1.685082
-364.912652,24,1.733262
-28.974255,24,1.780603
-246.140039,24,1.829915
95.648427,24,1.877209
-70.872372,24,1.919916
-78.493619,24,1.961979
-137.620494,24,2.003877
-388.927347,24,2.046564
-203.882761,24,2.089182
-342.402122,24,2.132026
-16.179695,24,2.179776
297.086651,24,2.228139
-134.458675,24,2.275342
-128.595222,24,2.321548
-156.80408,24,2.368848
-120.770581,24,2.413721
91.041911,24,2.456651
-16.321681,24,2.49895
-160.098775,24,2.541205
-63.521772,24,2.583207
-7.105353,24,2.625524
-244.860222,24,2.66747
79.099586,24,2.709887
-151.536247,24,2.752668
156.376297,24,2.794491
-84.548359,24,2.835617
-215.057362,24,2.87713
54.130719,24,2.922338
-100.638481,24,2.967215
-203.509692,24,3.012837
669.743577,24,3.057412
365.943773,24,3.102631
73.184786,24,3.146362
-307.261177,24,3.187241
-32.520181,24,3.228985
-271.608686,24,3.27117
260.741933,24,3.313839
-193.453811,24,3.357859
-198.545448,24,3.401703
28.372789,24,3.449812
-95.00204,24,3.496657
271.161583,24,3.540018
118.60494,24,3.583346
-141.285533,24,3.625905
-219.321644,24,3.668394
-469.001315,24,3.71916
175.612944,24,3.762557
-220.506417,24,3.80585
-133.582262,24,3.849622
86.944762,24,3.89262
-105.291388,24,3.936373
181.976069,24,3.9779
48.816188,24,4.019435
6.828308,24,4.061519
24.956377,24,4.104012
24.196025,24,4.171284
-6.570092,24,4.221495
106.887315,24,4.264108
-132.077665,24,4.307606
342.592503,24,4.349993
-336.226794,24,4.391903
64.373128,24,4.434815
50.092803,24,4.478137
18.718908,24,4.523065
122.124994,24,4.567502
89.640986,24,4.611693
-151.664569,24,4.655411
-61.12193,24,4.699339
-71.562447,24,4.74286
242.269391,24,4.786811
117.626587,24,4.829599
299.108033,24,4.872134
137.179214,24,4.914588
-292.410556,24,4.957502
194.947656,24,4.99991
228.281153,24,5.04268
107.016072,24,5.086134
183.340531,24,5.128604
454.605256,24,5.171057
299.086619,24,5.215448
414.825162,24,5.257663
332.570801,24,5.298787
338.973831,24,5.339985
363.892294,24,5.381078
176.400141,24,5.422509
189.955412,24,5.463912
340.109961,24,5.505301
169.200255,24,5.546592
438.147938,24,5.587637
222.708751,24,5.62912
189.517728,24,5.67082
156.454758,24,5.712877
234.563447,24,5.754984
233.965924,24,5.796805
104.279367,24,5.838414
50.653336,24,5.880807
437.318033,24,5.923365
466.182872,24,5.965891
-3.228289,24,6.008208
610.037597,24,6.049869
301.321406,24,6.091336
478.122023,24,6.133206
548.139444,24,6.176587
410.423478,24,6.218349
165.701339,24,6.260148
119.888944,24,6.302468
215.305936,24,6.346314
440.833039,24,6.39113
260.735308,24,6.435268
440.010292,24,6.478163
365.558619,24,6.522001
766.386428,24,6.563451
375.910294,24,6.605659
670.225067,24,6.648066
249.856714,24,6.693561
679.635128,24,6.735872
353.398678,24,6.778408
259.200089,24,6.820789
661.955208,24,6.86302
682.363833,24,6.907032
588.577049,24,6.949074
-51.456697,24,6.990969
50.022242,24,7.033151
305.392676,24,7.075723
519.664709,24,7.117777
640.511008,24,7.160483
680.996767,24,7.20288
669.584375,24,7.245475
590.341003,24,7.289277
456.629123,24,7.332909
179.695003,24,7.376463
623.832125,24,7.420099
257.91481,24,7.463409
390.237724,24,7.507931
190.816508,24,7.550438
577.107301,24,7.592323
525.122656,24,7.633863
382.739514,24,7.674946
548.363681,24,7.716071
394.332381,24,7.757174
106.463278,24,7.799188
369.587231,24,7.841253
765.905035,24,7.884317
673.763789,24,7.926707
566.926714,24,7.967889
175.891228,24,8.014958
798.42691,24,8.055898
713.307222,24,8.097464
411.495926,24,8.139562
623.918277,24,8.182751
603.475835,24,8.224028
699.358844,24,8.265818
671.907867,24,8.307908
397.865578,24,8.349909
439.411241,24,8.392358
669.255406,24,8.434709
631.924648,24,8.477115
729.914712,24,8.519595
438.894208,24,8.562078
573.077773,24,8.602993
637.496264,24,8.644328
