#{"t_start": 1613508686.111982, "env_id": "ElectricityMarket-v0"}
r,l,t
-3335.145093,24,0.944239
-3257.714153,24,0.95222
-3230.721665,24,0.959853
-3364.154424,24,0.967372
-3195.146521,24,0.975178
-3355.115021,24,0.982332
-3513.054945,24,0.989583
-3283.714598,24,1.00027
-3202.8797,24,1.00835
-3482.404834,24,1.016589
-3432.473499,24,1.024164
-3442.434154,24,1.03223
-3089.153718,24,1.039906
-3283.393297,24,1.047767
-3348.637468,24,1.055488
-3416.70919,24,1.062891
-3151.411763,24,1.070745
-3296.4356,24,1.078217
-3408.654513,24,1.085499
-3241.466141,24,1.09275
-3257.753102,24,1.099795
-3389.894263,24,1.106268
-3259.890127,24,1.112962
-3245.55754,24,1.119594
-3126.943275,24,1.12621
-3238.346271,24,1.133246
-3128.04935,24,1.141589
-3129.530927,24,1.148972
-3379.151502,24,1.155854
-3153.539891,24,1.163315
-3288.711221,24,1.1703
-3258.868657,24,1.177518
-3132.104069,24,1.184014
-3209.745175,24,1.190485
-3255.112828,24,1.197342
-3162.536045,24,1.204122
-3408.550329,24,1.211821
-3198.307231,24,1.22018
-3200.540381,24,1.228791
-3381.342654,24,1.235816
-3322.495996,24,1.24298
-3250.660919,24,1.249686
-3272.747349,24,1.651861
-3114.4452,24,1.659503
-3289.556173,24,1.669939
-3261.020149,24,1.678785
-3361.76697,24,1.686548
-3411.45905,24,1.694452
-3282.828062,24,1.702141
-3428.209926,24,1.70988
-3205.323081,24,1.717847
-3256.129087,24,1.725375
-3365.330722,24,1.733263
-3328.814515,24,1.741157
-3362.217166,24,1.750788
-3241.318281,24,1.758542
-3198.245386,24,1.767936
-3183.398629,24,1.775503
-3216.013143,24,1.783886
-3130.127541,24,1.791413
-3155.007481,24,1.80029
-3279.573578,24,1.807725
-3357.35456,24,1.817055
-3445.236863,24,1.824609
-3190.87277,24,1.833579
-3258.997589,24,1.841048
-3329.177817,24,1.849082
-3393.866866,24,1.856713
-3224.052917,24,1.865555
-3334.292145,24,1.873124
-3300.32815,24,1.881801
-3330.504662,24,1.889268
-3189.222282,24,1.89867
-3308.398847,24,1.90613
-3313.640072,24,1.914469
-3155.493725,24,1.921753
-3353.397155,24,1.930553
-3389.662699,24,1.937998
-3305.629519,24,1.946444
-3322.908557,24,1.954014
-3332.166747,24,1.961689
-3069.530351,24,1.969883
-3236.776923,24,1.977939
-3340.413055,24,1.986214
-3283.164081,24,1.994053
-3176.867664,24,2.050013
-3281.411816,24,2.060983
-3356.426675,24,2.071389
-3338.427902,24,2.079994
-3172.694139,24,2.088379
-3306.625456,24,2.097207
-3232.55537,24,2.105043
-3275.392425,24,2.113445
-3290.733825,24,2.12103
-3400.282957,24,2.129052
-3088.188716,24,2.136653
-3258.319117,24,2.144786
-3252.176084,24,2.152956
-3349.841957,24,2.161043
-3184.886777,24,2.168605
-3181.021191,24,2.175989
-3215.380628,24,2.182859
-3192.183488,24,2.189417
-3202.690209,24,2.196482
-3326.943618,24,2.204205
-3246.93158,24,2.214151
-3251.613809,24,2.22223
-3231.073427,24,2.229808
-3329.635068,24,2.237844
-3181.222345,24,2.245221
-3230.154924,24,2.253337
-3307.811808,24,2.260588
-3346.647264,24,2.267524
-3222.796274,24,2.273972
-3141.080495,24,2.280424
-3185.22411,24,2.28688
-3380.054538,24,2.293384
-3167.837884,24,2.299869
-3276.077331,24,2.306666
-3189.812094,24,2.31324
-3251.520482,24,2.319699
-3375.944043,24,2.326459
-3458.195349,24,2.332927
-3217.810097,24,2.339389
-3371.493373,24,2.345895
-3103.789767,24,2.352387
-3162.630002,24,2.358909
-3217.007207,24,2.365453
-3293.137594,24,2.415787
-3245.142138,24,2.424911
-3267.844448,24,2.432174
-3081.469926,24,2.439215
-3227.394709,24,2.446956
-3384.692671,24,2.453596
-3095.691311,24,2.460024
-3438.746308,24,2.46652
-3187.947586,24,2.47314
-3331.521947,24,2.479599
-3297.211201,24,2.486101
-3310.890537,24,2.492529
-3178.424932,24,2.499896
-3223.600315,24,2.50724
-3088.292304,24,2.514455
-3206.998152,24,2.522998
-3345.515846,24,2.532123
-3188.991695,24,2.539869
-3243.23439,24,2.548642
-3252.433315,24,2.556384
-3293.027731,24,2.565116
-3243.713462,24,2.573593
-3377.848282,24,2.583042
-3147.698164,24,2.59298
-3455.660382,24,2.601816
-3139.724738,24,2.60969
-3360.422129,24,2.617853
-3332.601447,24,2.625664
-3284.976253,24,2.633922
-3328.569413,24,2.643127
-3272.421596,24,2.677259
-3367.641235,24,2.700927
-3267.056494,24,2.708602
-3223.863782,24,2.716977
-3247.423063,24,2.724591
-3218.855894,24,2.732686
-3221.31956,24,2.740378
-3248.981573,24,2.748306
-3460.845691,24,2.756154
-3294.658455,24,2.763912
-3256.759479,24,2.772068
-3134.333965,24,2.780388
-3170.171953,24,2.83062
-3214.579296,24,2.838809
-3226.110409,24,2.84682
-3156.638412,24,2.857417
-3305.027576,24,2.865828
-3211.657498,24,2.874174
-3278.470927,24,2.882227
-3276.899901,24,2.889811
-3175.348036,24,2.897855
-3143.35076,24,2.905861
-3245.744524,24,2.91362
-3395.722403,24,2.921091
-3144.339525,24,2.929012
-3260.561684,24,2.936409
-3240.02868,24,2.944411
-3294.633414,24,2.952156
-3165.41021,24,2.959926
-3248.821781,24,2.968641
-3347.788656,24,2.976375
-3315.02805,24,2.984453
-3208.110055,24,2.992527
-3366.543806,24,3.00008
-3433.329007,24,3.009605
-3276.846241,24,3.017303
-3352.915776,24,3.025726
-3246.251801,24,3.034774
-3178.733748,24,3.042241
-3429.172047,24,3.049915
-3278.266854,24,3.057568
-3336.149428,24,3.064811
-3220.698701,24,3.071763
-3146.361383,24,3.079121
-3173.058742,24,3.087343
-3261.472471,24,3.09458
-3315.515924,24,3.102479
-3151.37946,24,3.110182
-3171.315494,24,3.11776
-3273.8611,24,3.125349
-3263.813247,24,3.133159
-3323.290157,24,3.140441
-3333.99644,24,3.148016
-3220.251652,24,3.155235
-3239.681676,24,3.162113
-3333.164283,24,3.215585
-3234.276847,24,3.223683
-3286.892464,24,3.23297
-3296.756011,24,3.240361
-3172.628404,24,3.247564
-3361.521742,24,3.254484
-3351.637439,24,3.262383
-3208.184334,24,3.269498
-3174.755336,24,3.276038
-3110.341165,24,3.282502
-3142.828881,24,3.288991
-3372.429008,24,3.295604
-3224.320969,24,3.302522
-3362.251956,24,3.309037
-3354.114483,24,3.31549
-3171.690738,24,3.321943
-3304.614745,24,3.328582
-3305.773465,24,3.335054
-3136.058296,24,3.341625
-3330.572334,24,3.348076
-3181.722298,24,3.354618
-3300.912249,24,3.36323
-3198.87283,24,3.370355
-3151.714486,24,3.380691
-3401.14612,24,3.389449
-3291.702117,24,3.397181
-3257.588506,24,3.405055
-3395.009874,24,3.412938
-3278.379641,24,3.420728
-3325.651982,24,3.428081
-3209.660806,24,3.435629
-3133.46544,24,3.44304
-3375.885598,24,3.451957
-3348.139058,24,3.45979
-3239.603099,24,3.468576
-3202.506169,24,3.476141
-3209.966075,24,3.484512
-3337.223687,24,3.492374
-3138.731041,24,3.500195
-3190.135797,24,3.507929
-3158.333816,24,3.516116
-3322.233081,24,3.524529
-3207.990915,24,3.532144
-3204.601775,24,3.579973
-3309.304817,24,3.58944
-3246.731144,24,3.598656
-3243.256528,24,3.606386
-3261.279944,24,3.615266
-3305.641201,24,3.622907
-3333.300359,24,3.630944
-3271.964416,24,3.639
-3258.035043,24,3.647641
-3340.904032,24,3.65583
-3228.136034,24,3.663734
-3182.623437,24,3.671464
-3234.064539,24,3.67961
-3399.340657,24,3.689939
-3191.816382,24,3.697727
-3171.068009,24,3.705529
-3078.804738,24,3.713755
-3074.683615,24,3.721656
-3179.863424,24,3.729213
-3228.311224,24,3.73684
-3101.045612,24,3.745031
-3086.65226,24,3.753497
-3187.045937,24,3.760958
-3151.428413,24,3.769754
-3231.000263,24,3.777389
-3256.205561,24,3.785913
-3281.510861,24,3.793375
-3247.893411,24,3.802156
-3322.530508,24,3.810431
-3207.117206,24,3.819406
-3412.032306,24,3.826951
-3257.848944,24,3.834891
-3336.446619,24,3.842449
-3244.944614,24,3.850222
-3397.082806,24,3.857777
-3227.083894,24,3.865872
-3311.710611,24,3.873727
-3055.210407,24,3.881562
-3209.614219,24,3.890561
-3225.549036,24,3.898597
-3374.528332,24,3.90668
-3278.136366,24,3.914566
-3144.388323,24,3.962728
-3196.820759,24,3.974677
-3419.20019,24,3.983854
-3335.794627,24,3.992533
-3337.78408,24,4.000548
-3165.422087,24,4.008094
-3016.304245,24,4.015915
-3024.635977,24,4.023461
-3121.855906,24,4.030998
-3262.650488,24,4.038345
-2985.873693,24,4.045534
-3291.228837,24,4.053062
-3132.654105,24,4.060326
-2954.221685,24,4.067524
-3166.120067,24,4.075715
-3138.631548,24,4.083761
-3089.518014,24,4.091514
-3186.231641,24,4.100082
-3099.469801,24,4.108336
-3221.083946,24,4.116751
-3411.147322,24,4.12525
-3281.42678,24,4.134971
-3045.43619,24,4.142989
-3376.522755,24,4.151721
-3350.521944,24,4.159138
-3278.477028,24,4.168047
-3192.374575,24,4.175714
-3175.157897,24,4.184266
-3240.497993,24,4.192292
-3093.192089,24,4.200612
-3192.83834,24,4.208936
-3314.812468,24,4.217454
-3102.714979,24,4.225107
-3242.957586,24,4.234419
-3144.985131,24,4.24195
-2934.131592,24,4.250161
-3362.080512,24,4.257582
-3093.970499,24,4.266288
-3177.226755,24,4.273873
-3046.709104,24,4.282176
-3109.927384,24,4.289698
-3186.808662,24,4.298044
-3121.759544,24,4.305255
-3123.701894,24,4.357489
-3264.057833,24,4.367874
-3391.895714,24,4.377678
-2981.756712,24,4.385962
-3089.479565,24,4.393376
-3119.028842,24,4.401269
-3063.756751,24,4.40935
-3123.947507,24,4.416972
-3264.615258,24,4.424813
-3163.430912,24,4.433303
-3303.913177,24,4.440984
-3158.722923,24,4.449168
-3371.546307,24,4.456819
-3218.660927,24,4.465779
-3243.679195,24,4.47367
-3087.980333,24,4.481973
-3144.94764,24,4.489614
-3365.627934,24,4.497739
-3220.756108,24,4.505241
-3138.138038,24,4.513961
-3201.09469,24,4.521935
-3063.941186,24,4.530465
-2972.615821,24,4.539584
-3086.916075,24,4.547564
-3156.087596,24,4.554966
-3310.291842,24,4.563125
-3215.811005,24,4.570924
-3296.035316,24,4.579205
-3222.425591,24,4.58641
-3233.033543,24,4.594161
-3182.008458,24,4.601446
-3324.272275,24,4.608825
-3086.355242,24,4.616674
-3203.453927,24,4.623761
-3398.340121,24,4.631228
-3170.702251,24,4.638156
-3247.614061,24,4.645151
-3199.311739,24,4.651656
-3289.57253,24,4.658175
-3140.114023,24,4.665392
-3186.298319,24,4.672322
-3061.476214,24,4.679722
-3279.507931,24,4.686416
-3299.599663,24,4.736937
-3285.004279,24,4.746035
-3184.791279,24,4.755628
-3175.643746,24,4.763713
-3053.883984,24,4.771003
-3341.263664,24,4.779611
-3108.752531,24,4.78708
-3289.444761,24,4.795257
-3150.850751,24,4.802498
-3287.514226,24,4.810966
