#{"t_start": 1616372711.393656, "env_id": "ElectricityMarket-v0"}
r,l,t
-2827.267696,24,1.02728
-2741.854486,24,1.040726
-2702.409832,24,1.053078
-2728.256445,24,1.063964
-2690.223225,24,1.073666
-2798.95988,24,1.083288
-2778.626673,24,1.091967
-2751.660569,24,1.101773
-2713.324287,24,1.111064
-2675.266529,24,1.120039
-2691.335661,24,1.129461
-2666.652936,24,1.138976
-2714.170586,24,1.148057
-2746.741236,24,1.157772
-2643.511726,24,1.169871
-2728.975806,24,1.180341
-2687.046362,24,1.190308
-2739.107887,24,1.201944
-2708.976911,24,1.211537
-2771.362654,24,1.220587
-2748.531566,24,1.228913
-2716.365469,24,1.239011
-2801.982459,24,1.248226
-2647.024063,24,1.257245
-2695.223641,24,1.266723
-2828.165915,24,1.275218
-2736.757205,24,1.28374
-2677.141546,24,1.292479
-2672.464549,24,1.301462
-2696.387238,24,1.309943
-2682.40588,24,1.318359
-2727.808565,24,1.326898
-2799.563131,24,1.335068
-2693.403543,24,1.343192
-2744.262771,24,1.351204
-2663.717423,24,1.358997
-2760.447242,24,1.366762
-2709.501641,24,1.374699
-2718.856084,24,1.382497
-2686.984914,24,1.390298
-2701.739963,24,1.398396
-2770.379239,24,1.406363
-2654.157864,24,1.92384
-2793.691047,24,1.934319
-2681.02655,24,1.947277
-2679.286995,24,1.956625
-2678.913,24,1.967473
-2744.733989,24,1.97892
-2703.131933,24,1.994248
-2630.682303,24,2.007896
-2675.081968,24,2.021515
-2755.027121,24,2.034341
-2759.66289,24,2.046724
-2607.03435,24,2.055291
-2709.199838,24,2.063929
-2762.955587,24,2.071962
-2729.475559,24,2.08066
-2687.803789,24,2.089322
-2742.069986,24,2.097976
-2826.504198,24,2.106508
-2740.992721,24,2.115188
-2772.690204,24,2.123564
-2650.752383,24,2.131815
-2689.852142,24,2.140246
-2659.91285,24,2.148469
-2697.73529,24,2.156387
-2782.80725,24,2.164266
-2663.751238,24,2.172052
-2746.912561,24,2.180012
-2740.000943,24,2.187818
-2737.706689,24,2.19589
-2715.277853,24,2.203695
-2801.634197,24,2.211624
-2659.812154,24,2.21928
-2602.645541,24,2.227023
-2724.735526,24,2.234874
-2746.50371,24,2.243723
-2601.012796,24,2.252431
-2762.030847,24,2.261132
-2655.644397,24,2.27083
-2646.392797,24,2.279807
-2643.977467,24,2.288413
-2762.450193,24,2.297194
-2801.999371,24,2.306607
-2715.231516,24,2.315616
-2743.446498,24,2.38802
-2852.392023,24,2.398058
-2719.068559,24,2.408556
-2815.815141,24,2.418544
-2661.737297,24,2.427678
-2798.822215,24,2.436746
-2752.053855,24,2.445985
-2822.361085,24,2.454644
-2799.939613,24,2.464277
-2804.433971,24,2.472741
-2789.472258,24,2.482698
-2755.777437,24,2.491001
-2663.38538,24,2.500431
-2680.689137,24,2.509193
-2667.97999,24,2.518501
-2665.922972,24,2.528668
-2785.137399,24,2.53744
-2649.944158,24,2.547053
-2641.901852,24,2.556808
-2750.770376,24,2.565578
-2737.954829,24,2.574757
-2763.543485,24,2.58441
-2731.904401,24,2.592559
-2675.861704,24,2.600864
-2629.678351,24,2.609465
-2861.996112,24,2.618292
-2710.969193,24,2.62673
-2697.637152,24,2.635553
-2788.683145,24,2.64511
-2747.091012,24,2.654117
-2711.147698,24,2.66336
-2798.081789,24,2.67218
-2692.294035,24,2.68149
-2743.070711,24,2.690166
-2661.781044,24,2.699198
-2670.387457,24,2.707927
-2662.81981,24,2.717
-2671.196799,24,2.725264
-2665.117438,24,2.734638
-2730.526537,24,2.743141
-2695.354719,24,2.751727
-2848.338494,24,2.7604
-2664.540129,24,2.768548
-2772.396252,24,2.836405
-2770.257374,24,2.845558
-2678.164016,24,2.856513
-2663.243135,24,2.865004
-2732.937686,24,2.874202
-2718.977749,24,2.882557
-2635.983129,24,2.891653
-2717.641546,24,2.900546
-2695.952016,24,2.909224
-2676.575597,24,2.918044
-2575.53879,24,2.927227
-2808.042445,24,2.935832
-2758.595901,24,2.944228
-2677.156271,24,2.952695
-2704.105268,24,2.961222
-2654.903819,24,2.969761
-2643.089656,24,2.978005
-2670.389024,24,2.988145
-2715.225405,24,2.998764
-2672.06219,24,3.007741
-2728.081401,24,3.016335
-2780.963157,24,3.025273
-2637.379957,24,3.034361
-2672.923046,24,3.043538
-2724.63603,24,3.051729
-2655.22082,24,3.060657
-2681.481624,24,3.068546
-2659.140805,24,3.076962
-2671.722384,24,3.085133
-2826.359784,24,3.093034
-2772.480783,24,3.101224
-2673.314382,24,3.1096
-2753.622474,24,3.117895
-2759.829084,24,3.126982
-2745.064479,24,3.136192
-2636.256703,24,3.144352
-2692.753599,24,3.152305
-2722.12765,24,3.160135
-2670.651604,24,3.167753
-2645.940506,24,3.175405
-2716.34159,24,3.183271
-2785.886521,24,3.191335
-2717.292758,24,3.264835
-2699.409985,24,3.273125
-2692.046665,24,3.283428
-2742.378564,24,3.294787
-2689.395114,24,3.304682
-2621.745725,24,3.314123
-2649.921562,24,3.322861
-2772.328815,24,3.331677
-2768.60554,24,3.340108
-2793.655204,24,3.349317
-2804.24428,24,3.357539
-2697.639888,24,3.366931
-2742.705638,24,3.375276
-2664.500998,24,3.383892
-2715.541346,24,3.392501
-2617.207653,24,3.401668
-2698.05466,24,3.409857
-2739.191228,24,3.421806
-2743.197528,24,3.430746
-2694.222021,24,3.439768
-2755.420816,24,3.449539
-2582.161339,24,3.457725
-2698.473914,24,3.466812
-2649.817933,24,3.475139
-2624.67772,24,3.484071
-2593.99056,24,3.492378
-2724.2743,24,3.500751
-2677.5408,24,3.508911
-2656.506769,24,3.516963
-2684.417875,24,3.52487
-2685.797735,24,3.532525
-2725.986902,24,3.540188
-2710.808372,24,3.54793
-2749.510373,24,3.555846
-2704.333181,24,3.563779
-2587.726734,24,3.571925
-2613.296553,24,3.579868
-2673.365152,24,3.587703
-2608.827855,24,3.59547
-2708.395155,24,3.603199
-2675.102921,24,3.611035
-2612.007679,24,3.618769
-2732.852708,24,3.626465
-2688.291018,24,3.700294
-2783.224937,24,3.710481
-2739.36057,24,3.723284
-2724.602377,24,3.732271
-2779.098531,24,3.741074
-2724.302732,24,3.749992
-2760.942358,24,3.758637
-2550.646005,24,3.767071
-2674.045085,24,3.775615
-2706.491139,24,3.784244
-2701.680793,24,3.792809
-2827.962521,24,3.802026
-2626.807258,24,3.811331
-2677.955694,24,3.820812
-2792.813337,24,3.830018
-2765.626404,24,3.840219
-2654.94597,24,3.851492
-2640.46407,24,3.863218
-2753.717674,24,3.871844
-2655.947369,24,3.882126
-2645.498991,24,3.891655
-2761.236607,24,3.900764
-2682.866207,24,3.910548
-2754.571498,24,3.919351
-2723.942765,24,3.93014
