#{"t_start": 1616737381.989929, "env_id": "ElectricityMarketDiscrete-v0"}
r,l,t
-409.355856,24,1.805656
-88.888259,24,1.812813
-369.28124,24,1.819843
-298.390276,24,1.826623
-234.11704,24,1.833401
-304.414381,24,1.840032
-307.291372,24,1.847109
-256.602488,24,1.853744
-364.534137,24,1.860337
-275.751867,24,1.86692
-656.996202,24,1.873486
-117.197196,24,1.880098
-335.294732,24,1.886728
-480.267435,24,1.893321
-508.049912,24,1.899886
-581.110742,24,1.906619
-252.706174,24,1.916735
-117.883537,24,1.925812
-368.536784,24,1.934391
-103.597252,24,1.941813
-340.845248,24,1.950055
-250.724877,24,1.957408
-263.103515,24,1.964494
-582.144675,24,1.971367
-464.70382,24,1.978273
-506.25944,24,1.984948
-260.101902,24,1.991648
-451.693993,24,1.998734
-480.615328,24,2.005663
-475.067476,24,2.012465
-247.396586,24,2.019159
-301.374649,24,2.025807
-139.65335,24,2.032451
-159.171489,24,2.03912
-586.03488,24,2.045935
-287.222637,24,2.052622
-172.214681,24,2.059238
-356.326589,24,2.065858
-406.714374,24,2.072661
-255.01634,24,2.079287
-198.060225,24,2.085917
-387.078329,24,2.092593
-479.192386,24,3.030911
-281.386875,24,3.040655
-318.90162,24,3.050515
-186.150253,24,3.061288
-583.728843,24,3.070858
-493.472063,24,3.079437
-73.995552,24,3.088987
-132.725023,24,3.098019
-163.348819,24,3.107526
-304.409334,24,3.115702
-344.168209,24,3.123462
-333.645214,24,3.130745
-493.031285,24,3.139217
-1.416859,24,3.147221
-143.377156,24,3.155781
-288.578815,24,3.166901
-313.057362,24,3.175162
-446.681741,24,3.182889
-2.700531,24,3.190684
-497.714925,24,3.198213
-523.021039,24,3.205082
-364.743348,24,3.211777
-201.822331,24,3.218865
-493.274373,24,3.225923
-416.167545,24,3.2328
-335.681964,24,3.239478
-297.449203,24,3.246854
-284.304521,24,3.253487
-393.376799,24,3.260132
-345.172883,24,3.266741
-363.565912,24,3.273673
-345.20269,24,3.280309
-213.340167,24,3.286952
-346.784296,24,3.293565
-397.631131,24,3.300185
-271.320304,24,3.307026
-171.794749,24,3.313863
-246.70498,24,3.321198
-372.015511,24,3.327871
-86.816011,24,3.334486
-321.752527,24,3.341112
-447.302192,24,3.347746
-333.974874,24,3.354357
-302.516365,24,3.49312
-152.040595,24,3.505383
-229.41484,24,3.517183
-590.873766,24,3.530381
-136.693735,24,3.540707
-206.226303,24,3.550831
-166.94339,24,3.561985
-247.430481,24,3.571941
-399.000156,24,3.583004
-499.646204,24,3.593276
-317.322375,24,3.60177
-277.445384,24,3.611564
-216.075383,24,3.619713
-382.017868,24,3.631016
-283.583833,24,3.639538
-371.142363,24,3.64879
-254.172276,24,3.657362
-524.120555,24,3.666766
-461.572161,24,3.676625
-290.569203,24,3.686007
-367.040581,24,3.696081
-103.03054,24,3.704206
-229.944988,24,3.712082
-28.735079,24,3.719874
-399.226382,24,3.727989
-313.864214,24,3.736047
-309.400408,24,3.74382
-302.325735,24,3.75157
-520.078106,24,3.75946
-355.353129,24,3.767521
-416.979956,24,3.775303
-406.563884,24,3.782937
-236.72142,24,3.790429
-409.842382,24,3.797241
-286.31135,24,3.804131
-105.564679,24,3.811147
-206.406202,24,3.818512
-209.546328,24,3.826044
-541.621634,24,3.833508
-326.531522,24,3.84123
-468.10659,24,3.848853
-61.735388,24,3.856554
-224.052581,24,3.864879
-246.687638,24,4.00023
-554.893481,24,4.012637
-555.643669,24,4.023423
-227.141575,24,4.033493
-83.334207,24,4.041481
-43.6834,24,4.048938
-527.220659,24,4.056285
-375.035058,24,4.063583
-398.088388,24,4.071319
-180.637303,24,4.079332
-343.226445,24,4.090984
-136.906267,24,4.099549
-183.597328,24,4.107649
-259.910911,24,4.114993
-450.690656,24,4.123056
-113.931845,24,4.13112
-390.568815,24,4.138455
-308.527982,24,4.145563
-94.147866,24,4.152778
-231.645904,24,4.16032
-634.282025,24,4.16744
-508.017541,24,4.174864
-578.490557,24,4.18159
-337.606686,24,4.188254
-268.835969,24,4.196759
37.843476,24,4.20698
-550.663749,24,4.215891
-131.313924,24,4.224399
-22.962004,24,4.233845
-558.502492,24,4.242436
-411.262856,24,4.251992
-469.532434,24,4.261082
-363.548552,24,4.270697
-152.387499,24,4.279416
-344.831052,24,4.288751
-424.125558,24,4.297958
-204.396582,24,4.308019
-298.790099,24,4.316162
-141.227929,24,4.324963
-333.415896,24,4.334025
-458.634525,24,4.342913
-533.190626,24,4.352283
-476.018828,24,4.513256
-424.337179,24,4.525574
-542.998675,24,4.535801
-283.264267,24,4.548029
-77.280197,24,4.559187
-319.747227,24,4.567587
-467.331035,24,4.577516
-126.129397,24,4.587434
-273.632976,24,4.595764
-406.775753,24,4.603607
-379.849927,24,4.611512
-101.783383,24,4.618899
-124.916005,24,4.626687
-514.632752,24,4.63443
63.919164,24,4.642423
-309.389756,24,4.650286
-92.600515,24,4.658323
-285.211103,24,4.666163
42.716156,24,4.674084
-104.526937,24,4.681848
-165.604187,24,4.689491
-354.927381,24,4.696408
-19.335848,24,4.703249
-103.032852,24,4.710315
-310.933944,24,4.717045
-519.109523,24,4.723916
-177.022887,24,4.731153
-495.45369,24,4.738444
-67.701976,24,4.745137
48.5578,24,4.752352
-189.415668,24,4.759481
-157.002545,24,4.766157
-59.754098,24,4.772988
-459.810493,24,4.779687
-248.7308,24,4.786391
-289.218754,24,4.793055
-151.52193,24,4.799701
-342.6236,24,4.806337
-551.311853,24,4.812995
17.208885,24,4.819797
-102.84259,24,4.826739
-351.437324,24,4.834087
-285.156791,24,4.840771
-237.936094,24,4.998535
-66.171012,24,5.006576
-232.165564,24,5.0179
-253.71292,24,5.029017
-188.068859,24,5.039122
-314.232961,24,5.049338
-312.982959,24,5.059546
-528.34808,24,5.068391
-342.846696,24,5.079155
31.9668,24,5.089703
-402.926247,24,5.099643
-39.219951,24,5.108829
